config,metric,n_paired,cfg_mean,full_mean,mean_diff,ci95_lo,ci95_hi,ci90_lo,ci90_hi,cohens_dz,t_p,wilcoxon_p,shapiro_p,tost_p_0.5pp,tost_eq_0.5pp,tost_p_1.0pp,tost_eq_1.0pp,t_holm_p,wilcoxon_holm_p,t_bh_p,tier
w/o_spectral,accuracy,30,0.7857307249712313,0.7732642884541617,0.012466436517069442,0.008318627591044282,0.016614245443094602,0.009020537776937183,0.0159123352572017,1.122289860020125,1.0649060376316316e-06,2.055525727507762e-05,0.09389650892917367,0.9995286969894355,False,0.883135971753665,False,1.9168308677369367e-05,0.0003905498882264748,1.01166073575005e-05,robust
w/o_temporal,accuracy,10,0.6418872266973533,0.7744533947065593,-0.13256616800920598,-0.14700693525823533,-0.11812540076017662,-0.14426807698189573,-0.12086425903651625,-6.566972664985667,6.514517356680004e-09,0.001953125,0.8546292438926544,0.9999999954267438,False,0.9999999934949374,False,1.2377582977692006e-07,0.03515625,1.2377582977692006e-07,robust
w/o_fusion,accuracy,10,0.7761795166858458,0.7744533947065593,0.0017261219792865435,-0.005710533171428811,0.009162777130001897,-0.004300085640727876,0.007752329599300962,0.1660414868561053,0.6122228045232597,0.607421875,0.41057516673370265,0.17266383756329673,False,0.016469710921335534,True,1.0,1.0,0.6462351825523297,n.s.
w/o_dynamic_gating,accuracy,10,0.7792865362485616,0.7744533947065593,0.004833141542002306,-0.007680152426898732,0.017346435510903344,-0.005306861717341811,0.014973144801346424,0.2762998446518657,0.40497181025852425,0.53515625,0.013469091112923798,0.4882970061140932,False,0.18732551996234825,False,1.0,1.0,0.48090402468199756,n.s.
w/o_gating,accuracy,30,0.7776754890678942,0.7732642884541617,0.004411200613732258,0.000984605749393552,0.007837795478070965,0.0015644689690121351,0.007257932258452381,0.4807015258153685,0.01343051841182611,0.018896910027541947,0.3742940781341386,0.36390083017290764,False,0.0011700383018271587,True,0.17980554551202096,0.26455674038558724,0.036454264260670874,suggestive
full_r1,accuracy,10,0.7762945914844649,0.7744533947065593,0.0018411967779056516,-0.002866957070093407,0.006549350625904711,-0.0019740013212401607,0.005656394877051464,0.2797514424720964,0.39936135904543024,0.30859375,0.07239805595875991,0.08169735665029165,False,0.0017551834870246363,True,1.0,1.0,0.48090402468199756,n.s.
full_r3_stft,accuracy,10,0.783199079401611,0.7744533947065593,0.008745684695051792,0.0003848563156605596,0.017106513074443025,0.0019705839718894913,0.015520785418214094,0.7482854162660567,0.04216479580831247,0.064453125,0.6401383081177664,0.8313441464417416,False,0.37105598141555474,False,0.46381275389143717,0.64453125,0.08901456892865967,suggestive
full_r3_sinc,accuracy,10,0.7869965477560414,0.7744533947065593,0.01254315304948218,0.0033727401890308838,0.021713565909933476,0.005112014891487327,0.019974291207477034,0.9784544374782065,0.01284325325085864,0.033203125,0.08044224433376818,0.9521501022986464,False,0.7269912063781195,False,0.17980554551202096,0.3984375,0.036454264260670874,suggestive
full_r1_r3,accuracy,10,0.7834292289988494,0.7744533947065593,0.008975834292289996,0.0015437366917188545,0.01640793189286114,0.00295331983040259,0.014998348754177403,0.8639452000069506,0.023147335092840143,0.01953125,0.22929395754737247,0.8714779038075979,False,0.38117230021822535,False,0.2777680211140817,0.26455674038558724,0.05497492084549534,suggestive
full_r2,accuracy,10,0.7743383199079402,0.7744533947065593,-0.00011507479861909698,-0.006590530726825385,0.006360381129587192,-0.005362385728973396,0.005132236131735203,-0.01271254917183741,0.9688108536618942,0.94140625,0.18795395089876615,0.06104847687374915,False,0.003618844199425375,True,1.0,1.0,0.9688108536618941,n.s.
