config,n,seeds,accuracy,macro_f1,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full_r1,10,"42,43,44,45,46,47,48,49,50,51",0.7763±0.0034,0.6250±0.0663,0.7762945914844649,0.003352784562088544,0.6250486190557917,0.06626374649350726
full_r3_stft,10,"42,43,44,45,46,47,48,49,50,51",0.7832±0.0106,0.6477±0.0610,0.783199079401611,0.01064675121401188,0.6477234694911068,0.06104481752884932
full_r3_sinc,10,"42,43,44,45,46,47,48,49,50,51",0.7870±0.0144,0.6546±0.0585,0.7869965477560414,0.014397896702367893,0.654555396505471,0.058518034286269505
full_r1_r3,10,"42,43,44,45,46,47,48,49,50,51",0.7834±0.0085,0.6660±0.0456,0.7834292289988494,0.008470144458676188,0.6659893953077678,0.04558888520245352
full_r2,10,"42,43,44,45,46,47,48,49,50,51",0.7743±0.0095,0.6525±0.0350,0.7743383199079402,0.009496285862268241,0.6525038518438303,0.035046416406782174
full_r2_gumbel,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7794±0.0077,0.6469±0.0488,0.7794016110471805,0.007699610447965984,0.6468936669440092,0.048797787059049934
full_r4_sparsemax,10,"42,43,44,45,46,47,48,49,50,51",0.7809±0.0068,0.5977±0.0465,0.7808975834292291,0.006801430075735039,0.5977118547096457,0.0464873731113485
full_r4_entmax,10,"42,43,44,45,46,47,48,49,50,51",0.7788±0.0070,0.5701±0.0453,0.778826237054085,0.007006029954326582,0.5701026890146392,0.04528492126846833
full_r4_lstm,10,"42,43,44,45,46,47,48,49,50,51",0.7797±0.0079,0.6278±0.0531,0.7797468354430379,0.007939327185574382,0.6277546279108634,0.053069640641167246
full_r1_r2_r3,10,"42,43,44,45,46,47,48,49,50,51",0.7800±0.0133,0.6796±0.0337,0.7799769850402762,0.013263310049343958,0.6795548770737414,0.03371588781327155
full_all,10,"42,43,44,45,46,47,48,49,50,51",0.7787±0.0115,0.6655±0.0273,0.778711162255466,0.011482519919581664,0.6654718861685271,0.027303320741628258
r1_w/o_spectral,10,"42,43,44,45,46,47,48,49,50,51",0.7875±0.0080,0.6873±0.0311,0.7874568469505179,0.00797353861823928,0.6873443107962034,0.03110202859030614
full_fixed_global,10,"42,43,44,45,46,47,48,49,50,51",0.7772±0.0084,0.6755±0.0344,0.7772151898734176,0.008354708639853936,0.675480019847722,0.034386810427913826
full_fixed_class,10,"42,43,44,45,46,47,48,49,50,51",0.8710±0.0376,0.7007±0.0609,0.8710011507479862,0.0375693712980121,0.7006623825963392,0.0608948557617248
