class,within_run_split,train_runs,val_runs,test_runs,train_windows,val_windows,test_windows
Normal,True,1,0,1,2,0,1
ATWS,True,1,1,1,7,1,1
FLB,False,70,15,15,143,27,27
LACP,True,1,1,1,4,1,1
LLB,False,71,15,15,497,105,105
LOCA,False,70,15,15,319,69,73
LOCAC,False,70,15,15,383,83,81
LOF,True,1,1,1,5,1,1
LR,False,69,15,15,483,105,105
MD,False,70,15,15,518,113,113
RI,False,58,12,12,114,28,28
RW,False,70,15,15,94,20,16
SGATR,False,70,15,15,391,86,85
SGBTR,False,76,17,17,424,99,100
SLBIC,False,71,15,15,231,46,42
SLBOC,False,70,15,15,403,91,88
SP,True,1,1,1,5,1,1
TT,True,1,1,1,11,1,1
