config,seed,epoch,rho
full,42,0,2.9701466394840814
full,42,1,2.9796271354178114
full,42,2,2.3582905493488284
full,42,3,1.5265686929179418
full,42,4,2.673169103827089
full,42,5,2.3010435448826225
full,42,6,3.216732827476158
full,42,7,2.7358128621983138
full,42,8,1.7253490200795776
full,42,9,1.7441244727101075
full,42,10,3.892588180987204
full,42,11,2.3812950574885288
full,42,12,2.6973455894406997
full,43,0,3.3499662337085376
full,43,1,2.4383319149359113
full,43,2,1.9491156408349686
full,43,3,2.1239339783644158
full,43,4,1.2362896782249035
full,43,5,2.1925034604667553
full,43,6,1.1059876950900274
full,43,7,1.6993031481283192
full,43,8,1.7256275206118687
full,43,9,2.641803994051676
full,43,10,2.152356705699913
full,43,11,1.4377630225243898
full,43,12,2.4050739460507193
full,43,13,1.9132759432201838
full,43,14,1.8080951592403962
full,44,0,3.6691014213147266
full,44,1,1.7417866161862248
full,44,2,2.361410858204048
full,44,3,2.239236607179398
full,44,4,1.5860155340424944
full,44,5,2.599584738943606
full,44,6,2.672259367759584
full,44,7,1.974756604774845
full,44,8,2.626530001310871
full,44,9,1.5926871413915866
full,44,10,1.3892961610082883
full,44,11,1.6414323074690058
full,44,12,1.6795435696595133
full,44,13,1.4572402779461577
full,44,14,1.2818401686997523
full,44,15,1.8094936446151566
full,44,16,1.669946167545057
full,44,17,2.374145545574126
full,44,18,3.1500070496418693
full,44,19,2.020892562905276
full,44,20,2.454507113598271
full,44,21,2.6354372801629915
full,45,0,3.158493542767651
full,45,1,2.8967520946245253
full,45,2,1.5418306413209857
full,45,3,1.6163113932344644
full,45,4,2.317542331714966
full,45,5,1.3318731659723384
full,45,6,2.172761611383108
full,45,7,2.295204636207168
full,45,8,2.8895103775282163
full,45,9,2.8505481721994306
full,45,10,1.8483804696295612
full,45,11,1.6023408762857165
full,45,12,2.816120662637112
full,45,13,2.254433984361781
full,45,14,2.2190461493482783
full,45,15,2.0033867688629203
full,45,16,1.8066391155064125
full,45,17,2.5150822661392014
full,45,18,3.2399302972713704
full,45,19,2.414984830329768
full,45,20,1.5869403060841827
full,45,21,1.9612944750994754
full,45,22,2.952387093100256
full,46,0,2.968513561707523
full,46,1,2.9143174212754563
full,46,2,1.6163235507846436
full,46,3,1.5464545986789733
full,46,4,1.4919061744301272
full,46,5,1.9946772981706498
full,46,6,1.6717375964732935
full,46,7,1.4357612706884717
full,46,8,1.433155516162071
full,46,9,1.459562136023679
full,46,10,1.0712289564163218
full,46,11,1.1410053425267161
full,46,12,1.522652984264656
full,46,13,1.445021460548011
full,46,14,1.1233619860496507
full,46,15,1.0743266516531231
full,46,16,1.6834243953317207
full,46,17,1.4368245584819999
full,46,18,1.4993860409233584
full,46,19,1.6351002328986788
full,46,20,1.1778257067337057
full,46,21,1.4412996741675952
full,46,22,1.8892874342283341
full,46,23,1.739221119951317
full,46,24,1.190087347124832
full,47,0,4.915878877168054
full,47,1,4.204518592364271
full,47,2,3.144115415540458
full,47,3,3.2045544645671424
full,47,4,2.121593001726186
full,47,5,3.245065286026416
full,47,6,2.7639901669215794
full,47,7,2.3544979349137924
full,47,8,2.9445992422404865
full,47,9,2.676060214872499
full,47,10,2.682742726580477
full,47,11,2.923834497243435
full,47,12,2.569961848406523
full,47,13,2.288264382086343
full,47,14,2.406720584889271
full,47,15,2.518471784366393
full,47,16,2.529202889416108
full,47,17,1.7851581296330312
full,47,18,1.958465416468721
full,47,19,1.8812738841245424
full,47,20,2.301661735281065
full,47,21,2.4969443762359225
full,47,22,2.0505671076098677
full,47,23,2.923030114997474
full,47,24,2.2561909011792207
full,48,0,3.366459391887523
full,48,1,2.4944441616610433
full,48,2,1.78649921127729
full,48,3,2.21427418646971
full,48,4,2.6634115110679106
full,48,5,1.6457556797986692
full,48,6,2.1316126837803075
full,48,7,2.6048492062476685
full,48,8,3.5850951861614515
full,48,9,1.7576248934731122
full,48,10,1.2697164693930274
full,48,11,1.4063424449821635
full,48,12,2.236956194722102
full,48,13,1.9942071148479883
full,49,0,4.0860867090081445
full,49,1,4.760279976873818
full,49,2,2.98317966771568
full,49,3,2.676944089856609
full,49,4,2.1923109516214048
full,49,5,1.7112637805400557
full,49,6,2.0891661072860086
full,49,7,3.4876237208362855
full,49,8,2.32138133976002
full,49,9,2.811149391531877
full,49,10,1.8182947436182526
full,49,11,1.7627455394865683
full,49,12,2.1426701946879874
full,49,13,2.0258457949555067
full,49,14,1.9202721394185853
full,49,15,1.9292362895782056
full,49,16,2.4856601283674298
full,49,17,3.3566915443423855
full,49,18,1.754560339506958
full,49,19,1.974837597084416
full,49,20,2.6107160037589976
full,49,21,2.295255083528315
full,49,22,2.101311565573962
full,49,23,1.9726411386171492
full,49,24,1.9256656997103376
full,49,25,1.884617903830093
full,50,0,4.156607781832695
full,50,1,4.368081032949199
full,50,2,2.9327704532009657
full,50,3,3.596214268296265
full,50,4,3.5124688616694
full,50,5,8.030905060862302
full,50,6,4.308607434035491
full,50,7,3.0645385544400776
full,50,8,2.162033372559425
full,50,9,3.3966866404534004
full,50,10,2.0833709930432738
full,50,11,2.894189549368657
full,50,12,1.983604558041932
full,50,13,2.6822152729530218
full,50,14,2.655701910269336
full,51,0,4.667683261125001
full,51,1,8.354966528455684
full,51,2,5.638412050413271
full,51,3,6.354105139103172
full,51,4,8.866480915586962
full,51,5,11.251723674829432
full,51,6,5.190183244150564
full,51,7,5.864103113005632
full,51,8,9.15668202105743
full,51,9,7.364418960281126
full,51,10,9.931987309194
full,51,11,6.947797264517681
full,51,12,4.043108172334173
full,51,13,4.320802401997495
w/o_fusion,42,0,2.3567739848814924
w/o_fusion,42,1,1.7873475885210928
w/o_fusion,42,2,1.8634283203695483
w/o_fusion,42,3,1.545062633470324
w/o_fusion,42,4,1.785685920657698
w/o_fusion,42,5,1.4132305766591058
w/o_fusion,42,6,1.670717620599843
w/o_fusion,42,7,1.7348854660395467
w/o_fusion,42,8,1.7068312240616237
w/o_fusion,42,9,1.5061721287058796
w/o_fusion,42,10,1.9307636803633248
w/o_fusion,42,11,1.5370209893581657
w/o_fusion,42,12,1.5178780946937318
w/o_fusion,43,0,2.6074167078107546
w/o_fusion,43,1,2.337448796425411
w/o_fusion,43,2,1.2027064296812815
w/o_fusion,43,3,1.432787753351921
w/o_fusion,43,4,1.4304468707720828
w/o_fusion,43,5,1.3082660080111683
w/o_fusion,43,6,1.1365060293010056
w/o_fusion,43,7,1.608491150399049
w/o_fusion,43,8,1.9503618704272805
