class,within_run_split,train_runs,val_runs,test_runs,train_windows,val_windows,test_windows
Normal,False,98,21,21,294,63,63
F1,False,98,21,21,294,63,63
F2,False,98,21,21,294,63,63
F4,False,98,21,21,294,63,63
F5,False,98,21,21,294,63,63
F6,False,98,21,21,294,63,63
F7,False,98,21,21,294,63,63
F8,False,98,21,21,294,63,63
F10,False,98,21,21,294,63,63
F11,False,98,21,21,294,63,63
F12,False,98,21,21,294,63,63
F13,False,98,21,21,294,63,63
F14,False,98,21,21,294,63,63
F16,False,98,21,21,294,63,63
F17,False,98,21,21,294,63,63
F18,False,98,21,21,294,63,63
F19,False,98,21,21,294,63,63
F20,False,98,21,21,294,63,63
