config,seed,epoch,rho
full,42,0,2.630933319971182
full,42,1,0.609613225927072
full,42,2,0.5209788888768304
full,42,3,0.36467812660826404
full,42,4,0.2596980747431584
full,42,5,0.3590505011372862
full,42,6,0.733529928145385
full,42,7,0.6156918624306215
full,42,8,1.3607129205081347
full,42,9,1.793829064805301
full,42,10,0.5347853685441681
full,42,11,0.6392367095165067
full,42,12,0.5070917278609707
full,42,13,0.933110933529584
full,43,0,1.7171300371508689
full,43,1,0.5096399832535589
full,43,2,0.6247325748574758
full,43,3,0.8659687369042556
full,43,4,0.4027760512263569
full,43,5,0.1896619022128146
full,43,6,0.3655152424254695
full,43,7,0.4699098792919236
full,43,8,1.2838832220262153
full,43,9,1.5994353531862782
full,43,10,0.39474921522272394
full,43,11,0.626977051061566
full,43,12,0.3357465879410402
full,43,13,1.8630012496756347
full,44,0,1.7212089777631268
full,44,1,0.6268519588493126
full,44,2,0.7819107734264308
full,44,3,0.6965658212808438
full,44,4,0.5071800880840978
full,44,5,0.5164769464196857
full,44,6,1.136352973792862
full,44,7,0.6651031000676126
full,44,8,0.8030067878798918
full,44,9,2.2654878764837845
full,44,10,0.35148781473741686
full,44,11,0.570933466855862
full,44,12,0.6943545421436246
full,44,13,0.6737329790272432
full,44,14,0.9873373735887994
full,44,15,1.4456480968164969
full,44,16,1.5853985635583538
full,44,17,4.097796842893446
full,44,18,2.169374419915191
full,44,19,1.3062534428143868
full,44,20,1.042721975025802
full,44,21,0.5773829378321069
full,44,22,1.3807486267432423
full,44,23,4.27165051038989
full,44,24,0.644585872464356
full,45,0,1.4006635622327486
full,45,1,0.594742072273485
full,45,2,0.7986878409501954
full,45,3,0.7172256388423043
full,45,4,0.5419360436470743
full,45,5,0.2550848739510806
full,45,6,0.3770770737249601
full,45,7,0.4039023229380492
full,45,8,1.1286067508739048
full,45,9,0.7200970479624054
full,45,10,0.8187004286475977
full,45,11,0.7974771440208238
full,45,12,0.3281052016390999
full,45,13,0.5740290734856738
full,45,14,0.5080434605300295
full,45,15,0.4593714540225125
full,45,16,0.20039343048964436
full,45,17,0.29932256069088237
full,45,18,0.27777863556817933
full,45,19,0.5054465219878276
full,45,20,0.6316133792645279
full,45,21,1.3536787265283134
full,45,22,1.1079040822525976
full,45,23,1.0675121025939238
full,45,24,0.7017252736630935
full,45,25,8.890825025782783
full,45,26,1.0562757401694856
full,45,27,0.727780823494373
full,45,28,0.5901155955488339
full,45,29,0.8865676489513017
full,45,30,1.250972286379138
full,45,31,2.163785530577517
full,46,0,1.0600108742436456
full,46,1,0.302035292786287
full,46,2,0.5271841786412531
full,46,3,0.7828381221400365
full,46,4,0.2855481054204015
full,46,5,0.28690483191003535
full,46,6,0.6086934403661913
full,46,7,0.6157760336207753
full,46,8,0.4781643570620248
full,46,9,0.4789975909479444
full,46,10,0.22624875430582586
full,46,11,0.6788410732996332
full,46,12,0.6611031022259463
full,46,13,0.7414516376502716
full,46,14,0.3057826665316888
full,46,15,0.41865550562554593
full,47,0,1.3857772977794085
full,47,1,0.44524192260946843
full,47,2,0.29325584116900777
full,47,3,0.4688287857804872
full,47,4,0.4643614445338344
full,47,5,0.2852267903321132
full,47,6,0.48586729217299857
full,47,7,0.42796165278360315
full,47,8,0.6145692994789376
full,47,9,0.47852238829014543
full,47,10,0.8799868216779247
full,47,11,0.8566120320913126
full,47,12,0.46261884198170017
full,47,13,0.9425293257692743
full,48,0,1.0121496766113538
full,48,1,0.4806597202975191
full,48,2,0.4443843010211337
full,48,3,0.404281618105738
full,48,4,0.7150886225494112
full,48,5,0.32616776549561866
full,48,6,0.27632674408084273
full,48,7,0.33313103447374454
full,48,8,0.20492485299409055
full,48,9,0.5071141591045873
full,48,10,0.3149962061482271
full,48,11,0.6337341683416018
full,48,12,0.6926214242033542
full,48,13,0.7572284432744706
full,48,14,0.528576065097328
full,48,15,0.44704745692779474
full,49,0,1.19064170316932
full,49,1,0.5747408594958118
full,49,2,0.4526020835644561
full,49,3,0.299205692920248
full,49,4,0.7920471239213097
full,49,5,0.5853552255247755
full,49,6,1.0349577184551488
full,49,7,0.7009964554729522
full,49,8,0.4118792261324029
full,49,9,0.6495167608201569
full,49,10,0.7284380203541562
full,49,11,0.8730343735689837
full,49,12,0.7843122300227819
full,49,13,0.9801296818660814
full,49,14,1.2925691215415738
full,49,15,1.1896629570932316
full,49,16,0.5417771768419668
full,49,17,1.134782692708716
full,49,18,0.46846343474727614
full,49,19,0.5694602621994602
full,49,20,2.1099805176674633
full,49,21,1.5269818221293114
full,49,22,0.9297031083363612
full,49,23,0.9774046605171676
full,49,24,0.9730181200036646
full,49,25,1.617580421862211
full,49,26,1.0674008016754035
full,49,27,1.048971741092882
full,49,28,1.170283651131042
full,49,29,0.6762462702671521
full,49,30,0.6701198846014345
full,49,31,0.4828908950274852
full,49,32,0.5278796213855755
full,49,33,0.8679260631682287
full,49,34,0.6883100169659461
full,49,35,0.7421692585424322
full,49,36,1.1727469632775807
full,49,37,0.8824647285303687
full,49,38,0.6508722338996155
full,49,39,0.7667309644498403
full,49,40,0.8755681164110248
full,49,41,0.8908127439315339
full,49,42,0.7589067887797852
full,49,43,1.3078027055453871
full,50,0,0.9651469623886291
full,50,1,0.3189278159366481
full,50,2,0.3710067667303416
full,50,3,0.30336799801035497
full,50,4,0.41131216799396514
full,50,5,0.22027448655045437
full,50,6,0.4375811070096478
full,50,7,0.5533232157237976
full,50,8,0.28317505558069
full,50,9,0.4132613576446632
full,50,10,0.43092225734149503
full,50,11,0.5140630429328156
full,50,12,0.8446819442690484
full,50,13,0.9306821643424938
full,50,14,0.8299108559734226
full,50,15,0.407945250223119
full,50,16,0.3543744318487951
full,50,17,0.309002118244239
full,50,18,0.39392514231523357
full,50,19,0.4773768785165858
full,50,20,0.3499238584983072
full,50,21,1.322825920226707
full,50,22,0.6397489121071114
full,51,0,1.2046422704818012
full,51,1,0.6438217378987673
full,51,2,0.6683145747442516
full,51,3,0.5632333258429894
full,51,4,0.3010779676573847
full,51,5,0.43186900992753213
full,51,6,1.0862024782369055
full,51,7,0.5611406937162402
full,51,8,1.1893761504423752
full,51,9,0.48413682598008373
full,51,10,0.7328295875293652
full,51,11,0.8393021312411978
full,51,12,0.7519182750566081
full,51,13,0.581590149355436
full,51,14,1.889144111168305
full,51,15,1.5071589495485023
full,51,16,0.5963193370749273
full,51,17,1.0729714127215344
full,51,18,0.7545027069380363
full,51,19,0.6883550242442313
w/o_fusion,42,0,1.785124302646095
w/o_fusion,42,1,0.8417542925558432
w/o_fusion,42,2,0.7695938496733747
w/o_fusion,42,3,0.5934253705281974
w/o_fusion,42,4,0.4107928225567815
w/o_fusion,42,5,0.45867833800104896
w/o_fusion,42,6,0.548812695387047
w/o_fusion,42,7,0.58989990429964
w/o_fusion,42,8,0.5132532410710706
w/o_fusion,42,9,0.6514804657044319
w/o_fusion,42,10,0.44694200848894367
w/o_fusion,42,11,0.43147993825072034
w/o_fusion,42,12,0.5663255901609143
w/o_fusion,42,13,0.3974077333368582
w/o_fusion,42,14,0.8457694756099166
w/o_fusion,42,15,0.7382250371677271
w/o_fusion,42,16,0.9467110861116166
w/o_fusion,43,0,1.8964966234495495
w/o_fusion,43,1,1.4541399194371725
w/o_fusion,43,2,0.5726636599378521
w/o_fusion,43,3,0.3645722857878811
w/o_fusion,43,4,0.631821613593741
w/o_fusion,43,5,0.3108673596898939
w/o_fusion,43,6,0.6360606602718852
w/o_fusion,43,7,0.4415769689335858
w/o_fusion,43,8,0.5731449115054094
w/o_fusion,43,9,0.4133767758811526
w/o_fusion,43,10,0.42181685541319036
w/o_fusion,43,11,0.44542234674263137
w/o_fusion,43,12,0.6836478734686903
w/o_fusion,43,13,0.6877282381461083
w/o_fusion,43,14,0.5874628174801354
w/o_fusion,43,15,0.6063622047890046
w/o_fusion,43,16,0.46145074412062936
w/o_fusion,43,17,0.5842275025085388
w/o_fusion,43,18,0.581227773964386
w/o_fusion,43,19,0.5394674249410327
w/o_fusion,43,20,0.3977974796119841
w/o_fusion,43,21,0.4260317128396815
w/o_fusion,43,22,0.5491660399933884
w/o_fusion,43,23,0.581850925010754
w/o_fusion,43,24,0.7441424043099815
w/o_fusion,43,25,0.5940582300666012
w/o_fusion,43,26,0.5283088316345924
w/o_fusion,43,27,0.4954100080569542
w/o_fusion,43,28,0.5101535715342614
w/o_fusion,44,0,1.159355628760924
w/o_fusion,44,1,0.745784416711484
w/o_fusion,44,2,0.5296001800348417
w/o_fusion,44,3,0.400312786487213
w/o_fusion,44,4,0.3757110730671464
w/o_fusion,44,5,0.674478650099525
w/o_fusion,44,6,0.5176330560970435
w/o_fusion,44,7,0.5373374106856353
w/o_fusion,44,8,0.3819591471802417
w/o_fusion,44,9,0.5979871482991376
w/o_fusion,44,10,0.591504217627259
w/o_fusion,44,11,0.5216655489847136
w/o_fusion,44,12,0.5387205348538096
w/o_fusion,44,13,0.5254528222084757
w/o_fusion,44,14,0.4939315845530238
w/o_fusion,44,15,0.43114823146371334
w/o_fusion,45,0,1.878918091456213
w/o_fusion,45,1,1.0721234215549535
w/o_fusion,45,2,0.4849667814117556
w/o_fusion,45,3,0.5358569466058956
w/o_fusion,45,4,0.4851660859551423
w/o_fusion,45,5,0.3833476652685565
w/o_fusion,45,6,0.4475275456788263
w/o_fusion,45,7,0.35862287951940575
w/o_fusion,45,8,0.3802840147456663
w/o_fusion,45,9,0.39320597463830026
w/o_fusion,45,10,0.7862592463726202
w/o_fusion,45,11,0.9152610944757824
w/o_fusion,45,12,0.5649930534004849
w/o_fusion,45,13,0.6347128453503597
w/o_fusion,45,14,0.6425553747803395
w/o_fusion,45,15,0.5300243163666568
w/o_fusion,45,16,0.4583656127663111
w/o_fusion,45,17,0.4869443984965917
w/o_fusion,45,18,0.4955922234802882
w/o_fusion,45,19,0.5315861618798757
w/o_fusion,45,20,0.6349537681581007
w/o_fusion,45,21,1.0335803059687696
w/o_fusion,45,22,0.7801804952194913
w/o_fusion,45,23,0.8559257220831351
w/o_fusion,45,24,0.5349831288518927
w/o_fusion,45,25,0.4900559586077847
w/o_fusion,45,26,0.4107114218886916
w/o_fusion,45,27,0.5547788359569323
w/o_fusion,45,28,0.5251206051904518
w/o_fusion,45,29,0.6370626347530992
w/o_fusion,46,0,1.3106725240876673
w/o_fusion,46,1,0.6106677866302854
w/o_fusion,46,2,0.44531502002124485
w/o_fusion,46,3,0.41679522380602424
w/o_fusion,46,4,0.3485974388566015
w/o_fusion,46,5,0.454950931953843
w/o_fusion,46,6,0.32659291688606407
w/o_fusion,46,7,0.2707847668502426
w/o_fusion,46,8,0.3883432669658723
w/o_fusion,46,9,0.41635943457298114
w/o_fusion,46,10,0.778811019542669
w/o_fusion,46,11,0.5618443113479986
w/o_fusion,46,12,0.31364962102294086
w/o_fusion,46,13,0.363444379881035
w/o_fusion,46,14,0.4548191907726866
w/o_fusion,46,15,0.5321177993316102
