config,seed,epoch,rho
full,42,0,3.5937765256141962
full,42,1,2.3883853499947927
full,42,2,0.7742199125860629
full,42,3,0.32539038757128064
full,42,4,0.36696003912810665
full,42,5,0.5732566910153962
full,42,6,0.9902439814723775
full,42,7,1.1629328888872938
full,42,8,0.43290608225642885
full,42,9,0.40689116282304494
full,42,10,0.8975966892843018
full,42,11,1.027454592421302
full,42,12,0.9177326958153584
full,42,13,2.1640485856960403
full,42,14,1.8244868539331947
full,42,15,0.38025179697404254
full,42,16,0.7694760325453117
full,42,17,0.654292237173713
full,42,18,0.5732467060051082
full,42,19,0.7358133820104843
full,42,20,2.5655102116214006
full,42,21,0.8899085612087532
full,43,0,1.6965000997897215
full,43,1,0.846381553469685
full,43,2,0.4688575604120083
full,43,3,0.5315539248567135
full,43,4,0.6439946498703111
full,43,5,0.3512625324012535
full,43,6,0.47450520812463315
full,43,7,0.3398893655732878
full,43,8,1.0493908425013538
full,43,9,1.1840405880819391
full,43,10,0.24674660546411298
full,43,11,0.9306701643422927
full,43,12,0.5878135585883987
full,43,13,0.6228958684586947
full,43,14,1.3150903438734816
full,43,15,0.6148240299293399
full,43,16,1.2542318395768162
full,43,17,0.4154482825924494
full,43,18,0.30428894822348285
full,43,19,0.6392216543442896
full,43,20,1.5442798616429572
full,43,21,0.2524405343997138
full,43,22,0.4546744914452799
full,43,23,1.0871235244281092
full,43,24,1.7862290526714844
full,43,25,1.4296879753622926
full,43,26,1.2675983421414718
full,43,27,0.7525426427311155
full,43,28,0.5637642344852114
full,43,29,0.6553692916881921
full,43,30,0.6474650797599948
full,43,31,0.617542600333718
full,43,32,0.7497766626090283
full,43,33,0.9054220454312286
full,43,34,1.4867623017208498
full,43,35,0.3967667061981516
full,43,36,0.6935389948335366
full,43,37,0.44956848982039366
full,43,38,0.2527927948680891
full,44,0,1.2504761566799611
full,44,1,0.9958905117939221
full,44,2,0.4081111998444498
full,44,3,0.7068763238023529
full,44,4,0.781511000990793
full,44,5,0.24610296992089772
full,44,6,0.3893305504719139
full,44,7,0.29175863535736396
full,44,8,0.6673390418641316
full,44,9,1.4838400032219077
full,44,10,0.8286978896348033
full,44,11,0.6655821768343766
full,44,12,0.7904924532133281
full,44,13,1.3602509079878338
full,44,14,0.7127075601166437
full,44,15,0.8680670741533931
full,45,0,1.3183609346715401
full,45,1,0.5668455734543383
full,45,2,0.7370726922482895
full,45,3,0.616278162110718
full,45,4,0.15323819013489082
full,45,5,0.22647087606587082
full,45,6,0.5424857267669336
full,45,7,0.500288891669815
full,45,8,0.7368630926180696
full,45,9,1.5051514217927786
full,45,10,0.5742586110053858
full,45,11,1.2926558997334312
full,45,12,1.249284748575992
full,45,13,1.5171524316588734
full,45,14,0.5740780116013493
full,45,15,1.584847937817078
full,45,16,0.7416333946714543
full,45,17,0.5997869012039113
full,45,18,0.48039599012222445
full,45,19,0.5346173924355637
full,45,20,1.3603179063173227
full,45,21,1.1987069920191618
full,45,22,2.23962788541794
full,45,23,3.1334151981848457
full,45,24,0.5308942137034532
full,46,0,1.2460447548229343
full,46,1,0.7125645975764964
full,46,2,0.5842875953104599
full,46,3,0.6333660482423292
full,46,4,0.3395919043868891
full,46,5,0.557741527779507
full,46,6,0.6736653468750015
full,46,7,0.7977154954009813
full,46,8,0.7852899855866924
full,46,9,0.6848523267909911
full,46,10,0.568722312960258
full,46,11,0.7722172157964233
full,46,12,0.5166523662502818
full,46,13,0.3610950760386933
full,46,14,1.1661007725781845
full,46,15,0.9687510326180115
full,46,16,0.46397708091605305
full,46,17,0.6222471121842893
full,46,18,0.4012301311394365
full,46,19,0.5255218746732196
full,46,20,1.1769217161970824
full,46,21,2.9474028917363775
full,47,0,1.651028574115586
full,47,1,0.6895513313531348
full,47,2,0.37694518496298224
