config,seed,epoch,rho
full,42,0,1.9428755465551297
full,42,1,2.5800870450196536
full,42,2,3.081254534666016
full,42,3,3.5555151028068397
full,42,4,3.709279045261681
full,42,5,3.9011973062122287
full,42,6,4.0330076624555335
full,42,7,3.9239022492853253
full,42,8,3.831483804995842
full,42,9,3.957932769596752
full,42,10,4.420771397266346
full,42,11,4.608138606656398
full,42,12,4.616286273826103
full,42,13,4.316758490339726
full,42,14,4.443983978711027
full,42,15,4.320492560400714
full,42,16,4.491824401120955
full,42,17,4.634706766393171
full,42,18,3.990391578304266
full,42,19,3.9059607879400895
full,42,20,3.7967491832668085
full,42,21,4.2944401180451806
full,42,22,3.7646412305142647
full,42,23,4.180341603565578
full,42,24,4.412697619611301
full,42,25,4.309608358319925
full,42,26,4.100866948783778
full,42,27,4.114067247022184
full,42,28,4.233796547473427
full,42,29,4.006095056816405
full,42,30,3.9323247369446475
full,42,31,3.8019732628424334
full,42,32,4.343377065632688
full,42,33,3.8572695524401475
full,42,34,3.8524268346119013
full,42,35,4.10410337651709
full,42,36,3.969305129636692
full,42,37,3.944253253863396
full,42,38,3.7943658289822317
full,42,39,3.836444412018263
full,42,40,3.96115820637573
full,42,41,3.8529297523090476
full,43,0,1.9560965974008233
full,43,1,3.1302799772402783
full,43,2,3.595623358370598
full,43,3,3.5580688007063226
full,43,4,4.106553426040386
full,43,5,4.077103292607812
full,43,6,4.462174673950173
full,43,7,4.232855833693689
full,43,8,4.002414117609784
full,43,9,3.8563981597183212
full,43,10,4.0051963391154475
full,43,11,3.890245856615937
full,43,12,4.392100569238568
full,43,13,4.005553393492544
full,43,14,4.209529931810686
full,43,15,4.073214644668545
full,43,16,4.557297447698133
full,43,17,4.732594663893022
full,43,18,4.256549721752954
full,43,19,4.334194316662666
full,43,20,4.55499870646602
full,43,21,4.161149929030973
full,43,22,3.8776262960610253
full,43,23,3.8480345049855402
full,43,24,4.347220665462391
full,43,25,3.814866437888868
full,43,26,3.9142856709878653
full,43,27,3.575671590862144
full,43,28,3.644146064561777
full,43,29,3.9877331894561916
full,43,30,3.9868886670469466
full,43,31,4.04724586740662
full,43,32,3.8374074588821565
full,43,33,4.001197987467658
full,43,34,3.718912414169116
full,43,35,4.013809226506705
full,44,0,1.694624697950036
full,44,1,2.7806164399140862
full,44,2,3.268578200235244
full,44,3,3.5063699203257195
full,44,4,3.595784993587905
full,44,5,3.805825973398753
full,44,6,3.9051456389423436
full,44,7,4.0154164309491005
full,44,8,3.9641833826602157
full,44,9,3.9252237023081906
full,44,10,4.158928725883851
full,44,11,3.8495241349399767
full,44,12,3.6819109959844627
full,44,13,3.6668601105830954
full,44,14,3.6128016699703567
full,44,15,3.557816117487545
full,44,16,3.3369927620600977
full,44,17,3.5119540976104187
full,44,18,3.465582983319212
full,44,19,3.592747301885151
full,44,20,3.316373452315
full,44,21,3.248221116719111
full,45,0,1.6510406367921473
full,45,1,2.325078939037208
full,45,2,2.6823831449877042
full,45,3,2.851691945570045
full,45,4,3.0242217025537297
full,45,5,3.1483805302936827
full,45,6,3.1158682767080195
full,45,7,2.9673065833013084
full,45,8,3.1841739692890543
full,45,9,3.1700408714397486
full,45,10,3.2859700032678547
full,45,11,3.178145392292313
full,45,12,3.294684521930136
full,45,13,3.295930581051172
full,45,14,3.189343330305491
full,45,15,3.1344332868282647
full,45,16,3.1759654121059206
full,45,17,3.2537907439703626
full,46,0,3.081192809844327
full,46,1,4.6661850190498475
full,46,2,5.2537292186267806
full,46,3,5.219129442674674
full,46,4,5.643596271143979
full,46,5,5.705784892443736
full,46,6,5.888001208140521
full,46,7,5.978123648955472
full,46,8,6.057613354903786
full,46,9,6.0506069580897055
full,46,10,6.083086875538367
full,46,11,6.6049192839269475
full,46,12,6.015029071590111
full,46,13,6.178726286405898
full,46,14,6.310914151115993
full,46,15,5.494197679016233
full,46,16,5.815677060573909
full,46,17,6.441556085759438
full,46,18,6.3065148780459825
full,46,19,6.305740131778796
full,46,20,5.824271492255862
full,46,21,6.045217109450257
full,46,22,5.734932831618155
full,46,23,5.4815635483573075
full,46,24,5.525490455358626
full,46,25,5.965132992429727
full,46,26,5.645706546360854
full,46,27,5.986739701015923
full,46,28,6.111132903271896
full,46,29,5.602478327381324
full,46,30,6.101888157739318
full,46,31,6.346799773729832
full,46,32,5.920306502082147
full,46,33,5.410476496326466
full,46,34,5.3159031208042435
full,46,35,5.9596029135622235
full,46,36,5.112661602374717
full,46,37,5.149368051882282
full,47,0,2.4142771905133262
full,47,1,3.1260830760642935
full,47,2,3.3754041219194306
full,47,3,4.022785321189833
full,47,4,4.13577282371224
full,47,5,4.049777591324107
full,47,6,4.081303962786324
full,47,7,4.069128015086769
full,47,8,3.9094726363722265
full,47,9,4.190257569981007
full,47,10,4.048839558911992
full,47,11,4.103619882956409
full,47,12,3.832234228280215
full,47,13,4.029335031636217
full,47,14,4.29643524408348
full,47,15,4.052188267285621
full,47,16,3.9334423496215445
full,47,17,3.553437599817342
full,47,18,3.8404265167872382
full,47,19,3.7494475890390624
full,47,20,4.025294096387422
full,47,21,3.84355139502919
full,47,22,3.9418820042060916
full,47,23,4.007095849744531
full,47,24,4.003285310114015
full,47,25,4.302443746488111
full,48,0,1.796511347919202
full,48,1,3.0681326699101334
full,48,2,3.7733699627962216
full,48,3,3.8611217867034076
full,48,4,4.424952289110041
full,48,5,4.483796721170989
full,48,6,4.6354986529927205
full,48,7,5.0650647145978756
full,48,8,5.097778714429454
full,48,9,4.947369055223662
full,48,10,5.025695473065608
full,48,11,5.181281907327771
full,48,12,5.16223734308448
full,48,13,4.6158172239223445
full,48,14,4.3110739213204665
full,48,15,4.9037726529331955
full,48,16,5.010654153931728
full,48,17,4.509748318834459
full,48,18,5.1112164946005185
full,48,19,5.194233068865466
full,48,20,5.221831527472854
full,48,21,4.9790172385209255
full,49,0,2.1004597567733008
full,49,1,3.4391461420145677
full,49,2,3.9627177850113213
full,49,3,4.455444209913773
full,49,4,4.548858018984788
full,49,5,4.900415370050242
full,49,6,4.952740213183935
full,49,7,5.149228044558808
full,49,8,5.0387767646689126
full,49,9,5.004767226108237
full,49,10,5.367198124036079
full,49,11,4.914569287390093
full,49,12,4.591021025710356
full,49,13,4.700151143683096
full,49,14,4.5929937839076045
full,49,15,4.906411263892033
full,49,16,5.268343822606914
full,49,17,4.9512846667106265
full,49,18,4.839332449009793
full,49,19,5.053645834761578
full,49,20,4.948199630567609
full,49,21,4.455750286368927
full,49,22,4.205642666412817
full,49,23,4.234606771244476
full,49,24,3.813096664323998
full,49,25,4.199287838959663
full,49,26,3.903862535019742
full,49,27,4.234609561755846
full,49,28,4.425848986682078
full,49,29,4.535608914594055
full,49,30,4.276683172019348
full,49,31,4.392027528505798
full,50,0,2.239203353380471
full,50,1,3.45256384552478
full,50,2,3.6802142115312155
full,50,3,3.9935941122255048
full,50,4,4.183136151264975
full,50,5,4.416560273506501
full,50,6,4.539173261750233
full,50,7,4.617938110963354
full,50,8,4.309539636886861
full,50,9,4.21950956636789
full,50,10,4.299987177560126
full,50,11,4.460593343196218
full,50,12,4.480171508595293
full,50,13,4.391538475724588
full,50,14,4.59163774541343
full,50,15,4.291711082783338
full,50,16,4.283999396725931
full,50,17,4.567486769866339
full,50,18,4.40463387030447
full,50,19,4.4575862351632995
full,50,20,4.569472759279703
full,50,21,4.703740406848827
full,50,22,4.760956887841939
full,50,23,4.29762688957356
full,50,24,4.014624127888064
full,50,25,4.223185806263406
full,50,26,4.414077723256999
full,50,27,4.2904731620082925
full,50,28,3.739129601724562
full,50,29,3.9461974722952595
full,50,30,4.011047668489238
full,50,31,3.8543450286879453
full,50,32,3.86574124988825
full,50,33,4.1497876454624985
