config,seed,epoch,rho
full,42,0,2.2740115048412495
full,42,1,1.5046766022533289
full,42,2,1.1703462046853108
full,42,3,1.299693201346876
full,42,4,0.9511170934115097
full,42,5,1.137913121417192
full,42,6,1.2147050158181067
full,42,7,0.8102407154047464
full,42,8,1.4696318805073765
full,42,9,1.7655272132716475
full,42,10,0.9630310909209816
full,42,11,1.3920568379821308
full,42,12,1.086714801380789
full,43,0,2.411312900247359
full,43,1,1.7120613968595433
full,43,2,1.1128661780004385
full,43,3,1.1743588370337001
full,43,4,0.9012440467387445
full,43,5,1.3964915565897291
full,43,6,1.2027700722168932
full,43,7,1.1957512849379637
full,43,8,1.9228718190200182
full,43,9,1.4507357382737118
full,43,10,1.4342283333734631
full,43,11,2.16091773113843
full,43,12,1.8376240761907952
full,43,13,1.5890902773971987
full,43,14,1.886576181065972
full,43,15,2.453122374767434
full,43,16,1.7046657600505872
full,43,17,1.425751109320481
full,43,18,1.5158992647754896
full,43,19,1.654951961565171
full,43,20,1.7203066912814406
full,43,21,2.6113042376471065
full,43,22,1.899723193624593
full,43,23,1.9465957466422728
full,44,0,2.5445991942710817
full,44,1,1.8382810816440909
full,44,2,1.3862546719607751
full,44,3,0.931757425274949
full,44,4,1.3065714823506571
full,44,5,1.511366675300368
full,44,6,1.9764179923998797
full,44,7,1.1209819167632735
full,44,8,1.4393721282754917
full,44,9,1.647285173485559
full,44,10,1.1142707155344205
full,44,11,1.9643627343427432
full,44,12,0.8539961302988762
full,45,0,2.545231897887268
full,45,1,2.3008781284236264
full,45,2,2.311875791772416
full,45,3,2.5355611139325007
full,45,4,2.2748746087918112
full,45,5,2.0622757660532023
full,45,6,1.9198164415892516
full,45,7,2.6491002636162833
full,45,8,1.802013518170276
full,45,9,2.9052953704551854
full,45,10,2.555312846262531
full,45,11,1.9011397761718174
full,45,12,1.7396124138142024
full,45,13,0.944002068905716
full,45,14,1.5075066737524434
full,45,15,1.0013073780874828
full,45,16,1.6422403786773634
full,45,17,2.7192164563588626
full,45,18,1.5786680838688756
full,45,19,1.605803511104677
full,45,20,1.5353033303593042
full,45,21,2.8332985044565433
full,45,22,2.104660944513509
full,45,23,1.9284929457514666
full,45,24,1.9491362790443292
full,45,25,2.022731151750502
full,45,26,1.258146063490309
full,45,27,2.6979977619943663
full,45,28,1.8385117347377626
full,45,29,2.551896981862471
full,45,30,1.1296198128942043
full,45,31,0.9625979953124169
full,45,32,0.613330558832897
full,45,33,1.5259882067545754
full,45,34,1.1495780929405084
full,45,35,1.652193616113481
full,46,0,3.254267872642801
full,46,1,3.021117875234718
full,46,2,2.5417415353487915
full,46,3,1.9098311407351445
full,46,4,1.7374446852814818
full,46,5,2.1881664038123363
full,46,6,2.100007247535864
full,46,7,2.059419874081295
full,46,8,2.2721825743227453
full,46,9,1.456873177603794
full,46,10,2.1130150224784625
full,46,11,2.1968905314179423
full,46,12,1.7189311170584562
full,47,0,3.4646009514660276
full,47,1,2.7494207372829296
full,47,2,2.6095644059763874
full,47,3,2.404270239519521
full,47,4,1.7103700939678967
full,47,5,1.5471049754609107
full,47,6,2.165221136836664
full,47,7,2.015471188643441
full,47,8,2.416804490526486
full,47,9,1.7716408779561692
full,47,10,1.817702166015948
full,47,11,2.1454947377244094
full,47,12,1.3444798893914371
full,47,13,1.2860899914635646
full,47,14,1.4740084515229928
full,47,15,1.7210968847214023
full,47,16,1.4779396376314287
full,47,17,1.8668154557598728
full,47,18,1.2916296420767552
full,47,19,1.5321485797673993
full,47,20,1.6494494277865863
full,47,21,1.4115867702213085
full,47,22,1.422926336363203
full,48,0,3.4840194734559993
full,48,1,3.21346825916451
full,48,2,1.9770759483039808
full,48,3,1.5996156002050057
full,48,4,1.2001674381038643
full,48,5,1.0150204347805634
full,48,6,1.3687071985622299
full,48,7,1.3485674177359102
full,48,8,1.5965701463508881
full,48,9,1.3767090360931513
full,48,10,1.0720837886139725
full,48,11,1.2792261497163073
full,48,12,1.159161670795966
full,48,13,1.4995917929199436
full,48,14,1.4043683208044406
full,49,0,3.2264466774306158
full,49,1,2.715228730801814
full,49,2,1.801632445873497
full,49,3,1.868097270175221
full,49,4,2.0802770942983573
full,49,5,2.6933373662440068
full,49,6,2.4458353131839257
full,49,7,2.3628997830203984
full,49,8,2.3883329859692664
full,49,9,2.438499414998427
full,49,10,2.3804554609024526
full,49,11,1.8869743821149254
full,49,12,2.7989358521224688
full,49,13,3.079685088590683
full,49,14,1.8570102246616664
full,49,15,2.505398927532795
full,49,16,2.570717251081816
full,49,17,2.5519871452644938
full,49,18,2.261717996499876
full,49,19,1.7479977011630168
full,49,20,2.009902816968345
full,49,21,2.4153466900453853
full,49,22,2.9544039548284804
full,49,23,2.2103601379289084
full,49,24,1.7368002547240318
full,49,25,1.9203480533370816
full,49,26,1.9100546916424674
full,49,27,1.586997100754659
full,49,28,2.398162156691181
full,49,29,2.569100488266277
full,49,30,1.8783079142932038
full,49,31,1.9701288360646054
full,49,32,2.771274417376053
full,49,33,2.1502960988937465
