config,accuracy,macro_f1
full,0.7745±0.0059,0.6329±0.0424
w/o_spectral,0.7873±0.0101,0.6796±0.0242
w/o_temporal,0.6419±0.0181,0.5094±0.0298
w/o_fusion,0.7762±0.0083,0.6491±0.0556
w/o_dynamic_gating,0.7793±0.0128,0.6150±0.0699
w/o_gating,0.7816±0.0056,0.6355±0.0613
full_r1,0.7763±0.0034,0.6250±0.0663
full_r3_stft,0.7832±0.0106,0.6477±0.0610
full_r3_sinc,0.7870±0.0144,0.6546±0.0585
full_r1_r3,0.7834±0.0085,0.6660±0.0456
full_r2,0.7743±0.0095,0.6525±0.0350
full_r2_gumbel,0.7826±0.0063,0.6495±0.0482
full_r4_sparsemax,0.7809±0.0068,0.5977±0.0465
full_r4_entmax,0.7788±0.0070,0.5701±0.0453
full_r4_lstm,0.7797±0.0079,0.6278±0.0531
full_r1_r2_r3,0.7800±0.0133,0.6796±0.0337
full_all,0.7787±0.0115,0.6655±0.0273
r1_w/o_spectral,0.7875±0.0080,0.6873±0.0311
full_fixed_global,0.7772±0.0084,0.6755±0.0344
full_fixed_class,0.8710±0.0376,0.7007±0.0609
