config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,0.012888377445339494,0.003042096418689638,0.022734658471989348,0.9363728079214645,0.0159317826010166,0.02734375,0.2626215253145812,0.0467374132768701,0.011536149637705793,0.0819386769160344,0.9497934988459378,0.014871468857860885,0.048828125,0.20711317381321578,0.043243409917045054,0.35546875,0.07421875,0.23794350172577416,0.07063947707483921,0.732421875,0.115966796875
w/o_temporal,10,-0.13256616800920598,-0.14700693525823533,-0.11812540076017662,-6.566972664985667,6.514517356680004e-09,0.001953125,0.8546292438926544,-0.1235564948441243,-0.16491478400206655,-0.08219820568618205,-2.1371046449459725,8.288341887759297e-05,0.001953125,1.2377582977692006e-07,1.2377582977692006e-07,0.037109375,0.012369791666666666,0.0015747849586742664,0.0015747849586742664,0.037109375,0.037109375
w/o_fusion,10,0.0017261219792865435,-0.005710533171428811,0.009162777130001897,0.1660414868561053,0.6122228045232597,0.607421875,0.41057516673370265,0.016166786133183453,-0.03424954305357992,0.06658311531994682,0.22939040375525135,0.4866413444605411,0.375,1.0,0.6462351825523297,1.0,0.6788832720588235,1.0,0.579353883829037,1.0,0.5089285714285714
w/o_dynamic_gating,10,0.004833141542002306,-0.007680152426898732,0.017346435510903344,0.2762998446518657,0.40497181025852425,0.53515625,0.013469091112923798,-0.017922715968390835,-0.05979454434052894,0.023949112403747277,-0.30619963685624924,0.3581995306946636,0.375,1.0,0.48090402468199756,1.0,0.635498046875,1.0,0.5235223910152775,1.0,0.5089285714285714
w/o_gating,10,0.007134637514384356,0.0023692588991644347,0.011900016129604278,1.0710192473138451,0.008039024673649881,0.01171875,0.982166408666645,0.002555050620790955,-0.05691633479971073,0.06202643604129264,0.030733656090387855,0.9247067348400604,1.0,0.12058537010474822,0.03054829375986955,0.17578125,0.04453125,1.0,0.9247067348400604,1.0,1.0
full_r1,10,0.0018411967779056516,-0.002866957070093407,0.006549350625904711,0.2797514424720964,0.39936135904543013,0.30859375,0.07239805595875991,-0.007858491982839572,-0.07310876041275574,0.0573917764470766,-0.08615484113473576,0.7914270254845096,0.921875,1.0,0.48090402468199756,1.0,0.408203125,1.0,0.8554885424405728,1.0,1.0
full_r3_stft,10,0.008745684695051792,0.0003848563156605596,0.017106513074443025,0.7482854162660567,0.04216479580831247,0.064453125,0.6401383081177664,0.01481635845247572,-0.03152366482728076,0.061156381732232194,0.22872203314596437,0.48787695480339954,0.556640625,0.46381275389143717,0.08901456892865967,0.64453125,0.1224609375,1.0,0.579353883829037,1.0,0.6610107421875
full_r3_sinc,10,0.01254315304948218,0.0033727401890308838,0.021713565909933476,0.9784544374782065,0.012843253250858642,0.033203125,0.08044224433376818,0.021648285466839945,-0.017561863360417984,0.060858434294097874,0.39495515764901434,0.24318774461752848,0.275390625,0.179805545512021,0.04067030196105236,0.3984375,0.0783420138888889,1.0,0.42005155888482193,1.0,0.4756747159090909
full_r1_r3,10,0.008975834292289996,0.0015437366917188545,0.01640793189286114,0.8639452000069506,0.023147335092840143,0.01953125,0.22929395754737247,0.033082284269136716,-0.021186842935453476,0.08735141147372691,0.4360792542061499,0.20119486240265588,0.10546875,0.2777680211140817,0.05497492084549534,0.2734375,0.061848958333333336,1.0,0.38227023856504616,1.0,0.22265625
full_r2,10,-0.00011507479861909698,-0.006590530726825385,0.006360381129587192,-0.01271254917183741,0.9688108536618942,0.94140625,0.18795395089876615,0.019596740805199308,-0.017983385248082743,0.05717686685848136,0.37303397678833794,0.26838563505833096,0.322265625,1.0,0.9688108536618941,1.0,0.94140625,1.0,0.4249439221756907,1.0,0.5089285714285714
full_r2_gumbel,10,0.008170310701956274,0.005414005364450035,0.010926616039462513,2.1204792172999345,8.797987451320201e-05,0.001953125,0.7783571736135133,0.016583451500479608,-0.02896416213816804,0.06213106513912726,0.2604546233773448,0.4314334223512539,0.431640625,0.0014956578667244343,0.000557205871916946,0.037109375,0.012369791666666666,1.0,0.579353883829037,1.0,0.5467447916666667
full_r4_sparsemax,10,0.006444188722669742,-5.051856414950949e-06,0.012893429301754435,0.7147965484810985,0.05014502020649435,0.037109375,0.5589897198781444,-0.03519525632898531,-0.0697490752830911,-0.0006414373748795249,-0.728636383330296,0.046681256030169004,0.130859375,0.5014502020649435,0.09527553839233927,0.408203125,0.0783420138888889,0.5584518311346137,0.09854931828591235,1.0,0.2486328125
full_r4_entmax,10,0.004372842347525885,-0.001648938999847198,0.010394623694898967,0.5194713643107475,0.1348573482404523,0.09765625,0.5312231812376929,-0.06280442202399181,-0.09911461785398704,-0.02649422619399657,-1.2373267616572543,0.0035497649160953493,0.005859375,1.0,0.2135241347140495,0.87890625,0.16867897727272727,0.06389576848971629,0.03372276670290582,0.099609375,0.037109375
full_r4_lstm,10,0.0052934407364787165,-0.0016721749399741734,0.012259056412931606,0.5436273781341265,0.11971415805239059,0.18359375,0.5641726791063886,-0.005152483127767654,-0.05234484451778782,0.04203987826225251,-0.0781029870062075,0.8104628296805426,1.0,1.0,0.20677900027231103,1.0,0.2906901041666667,1.0,0.8554885424405728,1.0,1.0
full_r1_r2_r3,10,0.00552359033371691,-0.004222772680693217,0.015269953348127037,0.40541671649544814,0.23186658727686077,0.244140625,0.9846832717101907,0.04664776603511023,0.00449455422542222,0.08880097784479823,0.7916312933116783,0.03367577156872339,0.048828125,1.0,0.3388819352507965,1.0,0.35682091346153844,0.43778503039340405,0.09140566568653492,0.732421875,0.115966796875
full_all,10,0.004257767548906799,-0.004843414998132949,0.013358950095946547,0.33466238090062383,0.31749710074754245,0.322265625,0.14943615351161182,0.032564775129896015,0.003952089532559565,0.061177460727232465,0.8141646369363185,0.029960130659115493,0.048828125,1.0,0.43088892244309335,1.0,0.408203125,0.4287835138526407,0.09140566568653492,0.732421875,0.115966796875
r1_w/o_spectral,10,0.01300345224395858,0.005498264333028117,0.02050864015488904,1.239423912472314,0.003514158945042936,0.005859375,0.7583260981191491,0.054437199757572274,0.0071326313236382485,0.1017417681915063,0.8232191536348734,0.028585567590176046,0.048828125,0.05622654312068698,0.016692254988953947,0.09375,0.02783203125,0.4287835138526407,0.09140566568653492,0.732421875,0.115966796875
full_fixed_global,10,0.0027617951668584386,-0.006122955590614559,0.011646545924331436,0.22236631048717495,0.4997256192989358,0.6953125,0.8335063402109988,0.0425729088090908,0.014099174230807018,0.07104664338737458,1.0695760417680542,0.008097423730794069,0.00390625,1.0,0.5585168686282224,1.0,0.7339409722222222,0.13765620342349916,0.051283683628362435,0.0703125,0.037109375
full_fixed_class,10,0.09654775604142696,0.07021564841742889,0.12287986366542503,2.6228855292604094,1.6566608896338447e-05,0.001953125,0.0017140243230195542,0.06775527155770798,0.0012891549931837581,0.13422138812223222,0.7292317338695221,0.04653765259455114,0.037109375,0.00029819896013409203,0.00015738278451521526,0.037109375,0.012369791666666666,0.5584518311346137,0.09854931828591235,0.59375,0.115966796875
