config,metric,42,43,44,45,46,47,48,49,50,51,Mean ± SD
full,Acc,99.81,99.83,99.87,99.83,99.86,99.82,99.89,99.89,99.93,99.83,99.86 ± 0.04
full,F1,99.86,99.87,99.88,99.83,99.89,99.79,99.91,99.9,99.92,99.83,99.87 ± 0.04
w/o_spectral,Acc,99.81,99.83,99.83,99.71,99.77,99.8,99.9,99.71,99.74,99.8,99.79 ± 0.06
w/o_spectral,F1,99.8,99.83,99.83,99.72,99.79,99.82,99.91,99.75,99.68,99.82,99.79 ± 0.06
w/o_temporal,Acc,97.26,97.03,97.25,97.19,97.28,97.04,96.93,97.36,97.03,97.1,97.15 ± 0.14
w/o_temporal,F1,97.7,97.49,97.7,97.64,97.77,97.55,97.41,97.76,97.5,97.58,97.61 ± 0.12
w/o_fusion,Acc,99.85,99.84,99.82,99.88,99.93,99.84,99.8,99.91,99.88,99.9,99.87 ± 0.04
w/o_fusion,F1,99.81,99.87,99.85,99.88,99.94,99.82,99.85,99.92,99.83,99.91,99.87 ± 0.05
w/o_gating,Acc,99.83,99.79,99.87,99.87,99.83,99.81,99.73,99.79,99.83,99.86,99.82 ± 0.04
w/o_gating,F1,99.84,99.82,99.89,99.89,99.84,99.81,99.78,99.83,99.86,99.87,99.84 ± 0.04
