seed,O,A,B,C,D
42,191.159671613587,68.2647344470328,138.3150086658429,234.7136288586809,17.75230541591548
43,178.68852757875828,208.39249238837624,170.89559533208651,153.2872889251355,716.055515865961
44,151.4377350697411,58.00098123073052,118.83775507322196,290.7842399636225,911.8896122702512
45,291.2468063045534,33.952877016398325,133.15350036371177,121.14721303533292,2178.2666902204246
46,230.4602367965396,117.10764512554115,154.32520174594623,175.56668949116548,1032.5848052010108
47,278.7732964328064,147.842190875634,277.2552199232778,230.50549839864576,1230.9215680371808
48,140.38800493079313,65.26584234291919,277.3570806818914,179.9121199157123,516.8558544760795
49,247.32191474847116,34.7285945739009,129.14693296426938,345.190615140959,626.4218762104623
50,198.9183950347152,36.8089601134117,150.2928744542376,143.87248659291888,629.8484958183565
51,180.96995163495507,38.236044047066166,110.64476904361224,123.6338285787887,1105.8552845374895
Mean ± SD,208.9 ± 51.32,80.86 ± 58.76,166 ± 61.17,199.9 ± 74.42,896.6 ± 568.7
