metric,original_paper,v7_rerun,deviation
full acc,0.7745±0.0059,0.7794±0.0090,+0.49pp
w/o_spectral acc,0.7873±0.0101,0.7875±0.0068,+0.02pp
w/o_temporal acc,0.6419±0.0181,0.6413±0.0096,-0.06pp
w/o_fusion acc,0.7762±0.0083,0.7802±0.0100,+0.40pp
w/o_dynamic_gating acc,0.7793±0.0128,0.7783±0.0082,-0.10pp
w/o_gating acc,0.7816±0.0056,0.7819±0.0104,+0.03pp
rho,2.1711923337082544,1.5535074801856503,-0.617684853522604
H(alpha),0.5369129445405376,0.5391925624318104,0.002279617891272734
Var_t(alpha),0.0262489153072237,0.0266249621286988,0.00037604682147510116
S(0.9),0.0693415567278862,0.0692391671240329,-0.0001023896038532951
perm-null z,231.0655778089576,208.93645401449203,-22.129123794465585
w/o_spectral Holm p (acc vs full),0.2071131738132157,0.1340319522862078,
w/o_temporal Holm p (acc vs full),1.2377582977692006e-07,2.0877028360837688e-09,
w/o_fusion Holm p (acc vs full),1.0,1.0,
w/o_gating Holm p (acc vs full),0.1205853701047482,1.0,
