config,metric,42,43,44,45,46,47,48,49,50,51,Mean ± SD
full,Acc,78.14,76.87,78.25,78.37,78.25,75.95,76.52,77.68,77.22,76.18,77.34 ± 0.92
full,F1,67.0,65.47,68.86,63.89,62.5,69.6,61.56,67.71,61.83,57.8,64.62 ± 3.76
w/o_spectral,Acc,78.37,78.94,78.83,79.29,77.79,78.14,79.17,79.17,78.25,78.6,78.65 ± 0.51
w/o_spectral,F1,66.96,70.83,61.04,66.88,68.84,67.8,67.82,68.11,66.65,71.44,67.64 ± 2.83
w/o_temporal,Acc,64.1,64.79,66.28,63.52,63.29,64.67,64.21,63.52,63.98,62.95,64.13 ± 0.96
w/o_temporal,F1,55.37,51.98,51.02,51.01,51.15,53.32,52.78,52.39,51.82,50.6,52.14 ± 1.43
w/o_fusion,Acc,77.79,75.95,76.06,77.45,78.94,76.75,72.38,79.06,77.68,77.68,76.97 ± 1.92
w/o_fusion,F1,66.29,68.0,67.89,55.39,67.99,60.96,66.24,57.22,69.77,62.72,64.25 ± 4.95
w/o_gating,Acc,76.18,76.99,77.79,77.33,77.1,76.18,78.14,78.37,77.68,77.22,77.30 ± 0.74
w/o_gating,F1,62.98,69.99,68.91,67.05,68.48,63.83,70.69,63.33,68.8,67.76,67.18 ± 2.82
full_r1,Acc,79.52,77.79,78.14,77.79,79.4,78.83,73.53,78.14,77.22,76.18,77.65 ± 1.76
full_r1,F1,64.29,65.21,66.96,69.21,68.17,70.59,57.78,64.93,69.42,63.46,66.00 ± 3.76
full_r2_gumbel,Acc,77.56,77.33,78.37,77.91,76.99,75.95,77.91,77.33,78.48,77.45,77.53 ± 0.73
full_r2_gumbel,F1,71.01,70.3,65.49,67.56,66.28,47.29,68.84,61.34,70.94,70.47,65.95 ± 7.23
tsnet_vanilla,Acc,77.56,77.56,79.17,78.71,78.71,79.98,77.33,78.71,77.91,78.83,78.45 ± 0.84
tsnet_vanilla,F1,70.02,60.4,67.83,67.86,70.06,68.36,67.13,68.22,68.22,66.38,67.45 ± 2.72
