config,metric,42,43,44,45,46,47,48,49,50,51,Mean ± SD
full,Acc,78.48,77.56,78.14,77.56,78.37,76.99,76.64,78.71,77.33,79.63,77.94 ± 0.90
full,F1,58.05,61.46,61.36,59.19,51.93,64.92,56.49,70.16,64.71,68.17,61.64 ± 5.53
w/o_spectral,Acc,78.48,78.14,78.71,79.86,79.06,77.33,78.83,79.17,79.17,78.71,78.75 ± 0.68
w/o_spectral,F1,68.84,69.35,68.02,67.28,68.6,59.74,63.26,69.6,60.06,70.08,66.48 ± 3.96
w/o_temporal,Acc,64.1,64.79,66.28,63.52,63.29,64.67,64.21,63.52,63.98,62.95,64.13 ± 0.96
w/o_temporal,F1,55.37,51.98,51.02,51.01,51.15,53.32,52.78,52.39,51.82,50.6,52.14 ± 1.43
w/o_fusion,Acc,78.25,79.63,78.37,76.87,78.83,77.33,77.56,76.29,78.37,78.71,78.02 ± 1.00
w/o_fusion,F1,71.07,68.11,57.81,68.51,62.06,49.43,50.54,69.87,71.11,63.16,63.17 ± 8.18
w/o_dynamic_gating,Acc,78.02,77.91,79.06,77.1,77.68,76.29,78.25,77.22,77.91,78.83,77.83 ± 0.82
w/o_dynamic_gating,F1,63.5,70.79,55.66,55.46,62.94,67.85,57.56,63.47,49.58,71.2,61.80 ± 7.13
w/o_gating,Acc,77.68,77.79,76.18,78.14,78.48,78.48,79.98,79.06,77.33,78.83,78.19 ± 1.04
w/o_gating,F1,67.84,70.06,69.86,69.63,63.03,60.83,64.66,56.21,69.33,69.69,66.11 ± 4.78
