config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,42,0,0.34362088111865013,2.2740115048412495,0.10262727737426758,1.2429293306026354,0.7400228050171037
full,42,1,0.4078272860845052,1.5046766022533289,0.10320329666137695,0.4860792535924651,0.7571265678449259
full,42,2,0.3742609448430836,1.1703462046853108,0.08458375930786133,0.453750314130958,0.8107183580387686
full,42,3,0.3722189664876133,1.299693201346876,0.08136796951293945,0.4403488653452017,0.7708095781071835
full,42,4,0.4055341644424899,0.9511170934115097,0.07659912109375,0.3896034468384621,0.7730900798175598
full,42,5,0.3951679502078129,1.137913121417192,0.06794548034667969,0.3688787319427324,0.7833523375142531
full,42,6,0.3876450207553126,1.2147050158181067,0.07386112213134766,0.36903417736927235,0.7993158494868872
full,42,7,0.36242212423265135,0.8102407154047464,0.07574272155761719,0.3639307834159991,0.7947548460661346
full,42,8,0.3409324226472843,1.4696318805073765,0.0747690200805664,0.34564376332467894,0.7240592930444698
full,42,9,0.43494055533667975,1.7655272132716475,0.07967996597290039,0.3607478618149008,0.7844925883694412
full,42,10,0.5047890631498487,0.9630310909209816,0.09037494659423828,0.3579856416170823,0.7879133409350056
full,42,11,0.5118779478228322,1.3920568379821308,0.0822305679321289,0.37878244273072725,0.7822120866590649
full,42,12,0.5025763699126402,1.086714801380789,0.0795292854309082,0.34986859581068,0.7833523375142531
full,43,0,0.4241418891674813,2.411312900247359,0.1156930923461914,1.2458355320108723,0.7080957810718358
full,43,1,0.37219126501219046,1.7120613968595433,0.11937475204467773,0.5416385945436916,0.7137970353477765
full,43,2,0.30476371265675395,1.1128661780004385,0.13580560684204102,0.44658550603825914,0.7411630558722919
full,43,3,0.3965036166043224,1.1743588370337001,0.11940956115722656,0.4227118403473052,0.6396807297605474
full,43,4,0.3566607264948608,0.9012440467387445,0.11553525924682617,0.40793149614310464,0.7810718358038768
full,43,5,0.3472090327556522,1.3964915565897291,0.12390756607055664,0.3778819705687009,0.7730900798175598
full,43,6,0.3522891883195079,1.2027700722168932,0.10994148254394531,0.38387225113945783,0.7594070695553021
