config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,42,0,0.651605720163172,1.9428755465551297,0.13005781173706055,0.19061626816943988,0.9858098393448772
full,42,1,0.610487299433739,2.5800870450196536,0.16474390029907227,0.04118171044452639,0.984090767018816
full,42,2,0.6591692048825472,3.081254534666016,0.18444156646728516,0.026945604289842422,0.9944364568356567
full,42,3,0.5754904494309423,3.5555151028068397,0.2132720947265625,0.019144249884361697,0.9956085516034257
full,42,4,0.5730442725469753,3.709279045261681,0.23096847534179688,0.014539835032194274,0.9971557166968806
full,42,5,0.5794911183070833,3.9011973062122287,0.24745559692382812,0.012539174690306366,0.9976558104644621
full,42,6,0.5718156876521491,4.0330076624555335,0.2616691589355469,0.010353246937604824,0.9983590673251235
full,42,7,0.5081018891898482,3.9239022492853253,0.26915836334228516,0.008504860038114747,0.9989373007438895
full,42,8,0.5053507581833128,3.831483804995842,0.27353715896606445,0.008036794893528723,0.9983746952553604
full,42,9,0.4457220715383088,3.957932769596752,0.2888221740722656,0.0068268104261935076,0.9981715321622804
full,42,10,0.4888738900725401,4.420771397266346,0.2852902412414551,0.006556964017865917,0.9975151590923298
full,42,11,0.5017444083615775,4.608138606656398,0.28810930252075195,0.005526856053664566,0.9982340438832281
full,42,12,0.4180775623213543,4.616286273826103,0.313201904296875,0.005965550061874204,0.9951084578358442
full,42,13,0.41947352371701385,4.316758490339726,0.3088512420654297,0.004197571696327134,0.999234231418391
full,42,14,0.36007402594125415,4.443983978711027,0.31864118576049805,0.004618963783640209,0.9988279052322311
full,42,15,0.3019877344421835,4.320492560400714,0.32265138626098633,0.004054034381898054,0.9915765456023005
full,42,16,0.4098445793898494,4.491824401120955,0.318819522857666,0.004405559104449696,0.998843533162468
full,42,17,0.43513843291822374,4.634706766393171,0.31554174423217773,0.003825847739370734,0.9991560917672063
full,42,18,0.39337005382947143,3.990391578304266,0.3217020034790039,0.003912761721776952,0.9982340438832281
full,42,19,0.4081551140223396,3.9059607879400895,0.32943105697631836,0.0032747125201649436,0.9965462274176408
full,42,20,0.3381616168405397,3.7967491832668085,0.3351616859436035,0.003249430888877824,0.998249671813465
full,42,21,0.3875490977758967,4.2944401180451806,0.3322134017944336,0.0024226261801290473,0.9991717196974432
full,42,22,0.35356903006615636,3.7646412305142647,0.3341226577758789,0.003585998290117042,0.9992967431393386
full,42,23,0.33755693660727426,4.180341603565578,0.33728647232055664,0.003093606371432646,0.9995624179533663
full,42,24,0.30405205215758413,4.412697619611301,0.3445281982421875,0.002738843882354893,0.9989998124648372
full,42,25,0.30297057884104805,4.309608358319925,0.3490176200866699,0.003004814737930193,0.9977026942551729
full,42,26,0.26573300800631233,4.100866948783778,0.345761775970459,0.0026757883805290784,0.999437394511471
full,42,27,0.3351985867283883,4.114067247022184,0.3476524353027344,0.0029193193893066864,0.999609301744077
full,42,28,0.28284125581521447,4.233796547473427,0.34806108474731445,0.00283105150076372,0.9987653935112834
full,42,29,0.27891695965310204,4.006095056816405,0.3564414978027344,0.0021955908726386214,0.9978433456273051
full,42,30,0.3049381262171357,3.9323247369446475,0.3507828712463379,0.0024979707486257638,0.9989841845346003
full,42,31,0.297743494909674,3.8019732628424334,0.35630369186401367,0.002282412391483301,0.9996249296743139
full,42,32,0.27288853496996723,4.343377065632688,0.35026979446411133,0.0020868889423773505,0.9993279989998125
full,42,33,0.33169749092985257,3.8572695524401475,0.34694528579711914,0.0024658201594917346,0.998452834906545
full,42,34,0.2549300402952127,3.8524268346119013,0.34894847869873047,0.001961072630690137,0.999609301744077
full,42,35,0.27392113221313985,4.10410337651709,0.3555912971496582,0.0024217559144009493,0.9989685566043633
full,42,36,0.27964874614209667,3.969305129636692,0.35147762298583984,0.0017176183120065937,0.9992498593486279
full,42,37,0.3561268080143457,3.944253253863396,0.35167551040649414,0.00255188635646395,0.9991404638369694
full,42,38,0.3772397088138598,3.7943658289822317,0.34984397888183594,0.0021714392104715706,0.9993905107207601
full,42,39,0.34787597887043786,3.836444412018263,0.36053895950317383,0.0014706758388364357,0.9995624179533663
full,42,40,0.3058145857607146,3.96115820637573,0.35895586013793945,0.0018686063401140978,0.9993748827905232
full,42,41,0.3455860687685615,3.8529297523090476,0.35714054107666016,0.0020577888851957935,0.9995467900231293
full,43,0,0.6544372575842363,1.9560965974008233,0.10537481307983398,0.17881782986415914,0.9842314183909483
full,43,1,0.6486183759537686,3.1302799772402783,0.1349625587463379,0.04618373847701824,0.9735887978996062
full,43,2,0.6611464817654901,3.595623358370598,0.18161392211914062,0.029163031111073188,0.9900918922297931
full,43,3,0.6544428306001493,3.5580688007063226,0.19893789291381836,0.02219393915095007,0.9970150653247484
