config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,42,0,0.21609104846430854,2.9701466394840814,0.09909391403198242,1.2163935088260256,0.7776510832383124
full,42,1,0.37624684759718374,2.9796271354178114,0.07507896423339844,0.47912990769124825,0.669327251995439
full,42,2,0.34663550895279177,2.3582905493488284,0.0942835807800293,0.4155330166228053,0.8027366020524516
full,42,3,0.3236695911467263,1.5265686929179418,0.08263397216796875,0.376308123073663,0.7970353477765109
full,42,4,0.4189583460336054,2.673169103827089,0.061679840087890625,0.3635429109035297,0.7856328392246295
full,42,5,0.32486054208157833,2.3010435448826225,0.06759214401245117,0.3522443909957141,0.7856328392246295
full,42,6,0.39576940383277304,3.216732827476158,0.060511112213134766,0.3572650065679744,0.7594070695553021
full,42,7,0.35143686877805297,2.7358128621983138,0.07605886459350586,0.3814986871207298,0.7890535917901939
full,42,8,0.40910901401321076,1.7253490200795776,0.0693197250366211,0.4022945731833954,0.7799315849486887
full,42,9,0.4211090425054179,1.7441244727101075,0.06942605972290039,0.3506722898251595,0.7890535917901939
full,42,10,0.35918271266495877,3.892588180987204,0.09592247009277344,0.347225418082546,0.7924743443557583
full,42,11,0.37781934455981747,2.3812950574885288,0.09454631805419922,0.3379919895099778,0.7708095781071835
full,42,12,0.42244279361042103,2.6973455894406997,0.0881199836730957,0.33561610028952965,0.7936145952109465
full,43,0,0.36309683989121133,3.3499662337085376,0.06543350219726562,1.2693195796923054,0.7708095781071835
full,43,1,0.4639492597512864,2.4383319149359113,0.08287906646728516,0.5055670073910639,0.7480045610034207
full,43,2,0.3710115870588257,1.9491156408349686,0.07428169250488281,0.45711011501249843,0.7799315849486887
full,43,3,0.42343503889827444,2.1239339783644158,0.059229373931884766,0.4336122339411307,0.7696693272519954
full,43,4,0.438871781349332,1.2362896782249035,0.0617671012878418,0.3819902677257048,0.7970353477765109
full,43,5,0.46349601031117305,2.1925034604667553,0.05629396438598633,0.4229563701607889,0.7628278221208666
full,43,6,0.3697380877578091,1.1059876950900274,0.06687355041503906,0.40816146838647277,0.7548460661345496
full,43,7,0.44088007612255303,1.6993031481283192,0.0552520751953125,0.3898190164778808,0.7696693272519954
full,43,8,0.3919838398740799,1.7256275206118687,0.05736064910888672,0.3643208472044325,0.7765108323831242
full,43,9,0.4176781078033518,2.641803994051676,0.04749774932861328,0.3685408013258231,0.7730900798175598
full,43,10,0.419022330692716,2.152356705699913,0.0678400993347168,0.3816165870935626,0.7730900798175598
full,43,11,0.43077060886775187,1.4377630225243898,0.05077171325683594,0.35114244028490016,0.7924743443557583
full,43,12,0.3881342880144393,2.4050739460507193,0.06290912628173828,0.341815330690243,0.790193842645382
full,43,13,0.3989805906891445,1.9132759432201838,0.051685333251953125,0.3562207198343953,0.7958950969213227
full,43,14,0.3606692326246215,1.8080951592403962,0.051419734954833984,0.34991323504639427,0.7913340935005702
full,44,0,0.49196682095184735,3.6691014213147266,0.09455490112304688,1.209620208656309,0.7525655644241733
full,44,1,0.5152498445424072,1.7417866161862248,0.10786294937133789,0.461892695845385,0.7856328392246295
full,44,2,0.39562725989092873,2.361410858204048,0.10479307174682617,0.4354779546545707,0.7696693272519954
