config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,42,0,0.24022913684169234,3.5937765256141962,0.09798192977905273,1.1839972212741705,0.8509700176366843
full,42,1,0.22822141306457794,2.3883853499947927,0.1543292999267578,0.2540101192255229,0.9232804232804233
full,42,2,0.2612564390778339,0.7742199125860629,0.1378021240234375,0.13002534276008246,0.9567901234567902
full,42,3,0.32409185047123196,0.32539038757128064,0.14451980590820312,0.06373065271086073,0.9691358024691358
full,42,4,0.3183207854177343,0.36696003912810665,0.14270257949829102,0.03416785584003837,0.9805996472663139
full,42,5,0.35009324089205884,0.5732566910153962,0.14115381240844727,0.03295528987818204,0.9805996472663139
full,42,6,0.3234870002022088,0.9902439814723775,0.11284923553466797,0.03808588048799395,0.9805996472663139
full,42,7,0.3174298590076781,1.1629328888872938,0.14153099060058594,0.03319693362665555,0.9700176366843033
full,42,8,0.26129996704176284,0.43290608225642885,0.14535140991210938,0.021817494135382372,0.9832451499118166
full,42,9,0.28000361427421966,0.40689116282304494,0.1490011215209961,0.016497521441414368,0.9894179894179894
full,42,10,0.2671719822477121,0.8975966892843018,0.13909912109375,0.02056832516175932,0.9885361552028219
full,42,11,0.2618369045686405,1.027454592421302,0.14444446563720703,0.014230079542020461,0.9911816578483245
full,42,12,0.2867702922960571,0.9177326958153584,0.14116287231445312,0.01806019363292716,0.9682539682539683
full,42,13,0.2570422086760469,2.1640485856960403,0.13249492645263672,0.01609804212597557,0.9911816578483245
full,42,14,0.27051951860045154,1.8244868539331947,0.13390445709228516,0.01535693838634864,0.9858906525573192
full,42,15,0.30963866000992835,0.38025179697404254,0.11954450607299805,0.016145693837965606,0.9885361552028219
full,42,16,0.31718794140015494,0.7694760325453117,0.10651779174804688,0.010675985935599581,0.9841269841269841
full,42,17,0.30101619915269123,0.654292237173713,0.12394571304321289,0.005490292386360922,0.9894179894179894
full,42,18,0.3097022002490474,0.5732467060051082,0.12735414505004883,0.005225453352522547,0.9885361552028219
full,42,19,0.2836458283130064,0.7358133820104843,0.1323237419128418,0.0035561320758393023,0.9885361552028219
full,42,20,0.26781490864203644,2.5655102116214006,0.13987112045288086,0.0017571450570208961,0.9902998236331569
full,42,21,0.2719787875947363,0.8899085612087532,0.13762283325195312,0.001320172084364491,0.9911816578483245
full,43,0,0.2817857640810155,1.6965000997897215,0.07419729232788086,1.0954631761854017,0.8880070546737213
full,43,1,0.2965747464500774,0.846381553469685,0.12818431854248047,0.1633847782153211,0.9620811287477954
full,43,2,0.30330357098205313,0.4688575604120083,0.1364126205444336,0.07367403898176964,0.9814814814814815
full,43,3,0.3183951563442605,0.5315539248567135,0.12075233459472656,0.04722723918977508,0.9850088183421517
full,43,4,0.35060700430522773,0.6439946498703111,0.11515140533447266,0.029570794543244357,0.9885361552028219
full,43,5,0.3155728298582127,0.3512625324012535,0.12767696380615234,0.02568718136899956,0.9894179894179894
full,43,6,0.2608070981887455,0.47450520812463315,0.11587190628051758,0.01901536174850624,0.9876543209876543
full,43,7,0.33510732645348573,0.3398893655732878,0.09796142578125,0.014994988826160528,0.9911816578483245
full,43,8,0.2868109687959606,1.0493908425013538,0.10974693298339844,0.015121035360205336,0.9858906525573192
full,43,9,0.26758642616649686,1.1840405880819391,0.11603403091430664,0.015634948181221436,0.9841269841269841
full,43,10,0.3279667683106034,0.24674660546411298,0.11508941650390625,0.028530567695787254,0.9841269841269841
full,43,11,0.3113586232834864,0.9306701643422927,0.11639118194580078,0.03415299723669605,0.9753086419753086
full,43,12,0.2934667074638866,0.5878135585883987,0.15597963333129883,0.02651425558075489,0.9735449735449735
full,43,13,0.33244536518443957,0.6228958684586947,0.1219778060913086,0.019820751890171254,0.9920634920634921
full,43,14,0.36817549438861635,1.3150903438734816,0.11675357818603516,0.013113768808072038,0.9920634920634921
full,43,15,0.3497989632055665,0.6148240299293399,0.13060951232910156,0.0074426396500012326,0.9902998236331569
full,43,16,0.32799948893672076,1.2542318395768162,0.14839839935302734,0.018163746393472943,0.9894179894179894
full,43,17,0.3018843800239532,0.4154482825924494,0.16008758544921875,0.008250092792599965,0.9911816578483245
full,43,18,0.34800812793072233,0.30428894822348285,0.15088939666748047,0.0049446433486391595,0.9894179894179894
full,43,19,0.3036089761086288,0.6392216543442896,0.17759323120117188,0.008470932517448146,0.9876543209876543
full,43,20,0.30397539494256043,1.5442798616429572,0.1869816780090332,0.007124661780170145,0.9850088183421517
full,43,21,0.3005485149207701,0.2524405343997138,0.16076946258544922,0.009766798285529501,0.9938271604938271
full,43,22,0.2724872271727038,0.4546744914452799,0.1601238250732422,0.010505026967693416,0.9850088183421517
full,43,23,0.3591016805918757,1.0871235244281092,0.15064096450805664,0.011288884553413498,0.9885361552028219
full,43,24,0.3768825674259259,1.7862290526714844,0.15314531326293945,0.009105485634584732,0.9858906525573192
full,43,25,0.3007718309638494,1.4296879753622926,0.2102646827697754,0.015164798999047548,0.9876543209876543
full,43,26,0.36154994793672324,1.2675983421414718,0.17921018600463867,0.01076339425301589,0.9947089947089947
full,43,27,0.3487528176344907,0.7525426427311155,0.18203401565551758,0.0031010085983111755,0.9947089947089947
full,43,28,0.3360892253271721,0.5637642344852114,0.18718194961547852,0.0012582558243643164,0.9955908289241623
full,43,29,0.3482865541692529,0.6553692916881921,0.1827249526977539,0.0011270021734997146,0.9947089947089947
full,43,30,0.3407091052438951,0.6474650797599948,0.18448686599731445,0.0006104130762504612,0.9947089947089947
full,43,31,0.338390690619252,0.617542600333718,0.18421649932861328,0.0004208552952726827,0.9929453262786596
full,43,32,0.3416497884990564,0.7497766626090283,0.1805710792541504,0.00037841398891227674,0.9947089947089947
full,43,33,0.32769574235376164,0.9054220454312286,0.18982172012329102,0.00028247293826204583,0.9947089947089947
full,43,34,0.24877614245561996,1.4867623017208498,0.1850872039794922,0.03797755631485684,0.9876543209876543
full,43,35,0.25331224693321047,0.3967667061981516,0.18687772750854492,0.008598974206360256,0.9902998236331569
full,43,36,0.22656542316655798,0.6935389948335366,0.19392871856689453,0.01162061859676347,0.9929453262786596
full,43,37,0.19260671428478615,0.44956848982039366,0.19858312606811523,0.0072103898999726825,0.9947089947089947
full,43,38,0.20714968774757989,0.2527927948680891,0.2185373306274414,0.015702599390830144,0.9867724867724867
full,44,0,0.2601985704648632,1.2504761566799611,0.08026266098022461,1.0942259315888447,0.890652557319224
full,44,1,0.2760330646222849,0.9958905117939221,0.12687397003173828,0.17143138910862685,0.9611992945326279
full,44,2,0.2797965389289855,0.4081111998444498,0.13640069961547852,0.06801256318509759,0.9814814814814815
