config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,42,0,0.2697282896260415,2.630933319971182,0.06390571594238281,1.17715724753054,0.7962962962962963
full,42,1,0.34780416324067764,0.609613225927072,0.08503961563110352,0.2570368083291043,0.9206349206349206
full,42,2,0.359436466335287,0.5209788888768304,0.0779109001159668,0.10828488008685844,0.9858906525573192
full,42,3,0.35702352636358103,0.36467812660826404,0.10194635391235352,0.041402748151656274,0.9920634920634921
full,42,4,0.3661205529230331,0.2596980747431584,0.1039576530456543,0.028349877278815366,0.9603174603174603
full,42,5,0.36483032436849494,0.3590505011372862,0.11001873016357422,0.01763887823089811,0.982363315696649
full,42,6,0.4076418287357241,0.733529928145385,0.1262378692626953,0.037810890505249446,0.9647266313932981
full,42,7,0.3367001703350488,0.6156918624306215,0.114105224609375,0.03178346451887198,0.9805996472663139
full,42,8,0.30844321955102416,1.3607129205081347,0.1280674934387207,0.018182498605982405,0.9885361552028219
full,42,9,0.33653846822159633,1.793829064805301,0.12818384170532227,0.020977478635230595,0.9841269841269841
full,42,10,0.3454838218373491,0.5347853685441681,0.12911128997802734,0.020364145458994808,0.9832451499118166
full,42,11,0.33121989467787766,0.6392367095165067,0.12363576889038086,0.011096072395192072,0.9894179894179894
full,42,12,0.3652120500106566,0.5070917278609707,0.12042045593261719,0.011443302689298976,0.9867724867724867
full,42,13,0.3373893917049468,0.933110933529584,0.13943862915039062,0.010242089561462326,0.9700176366843033
full,43,0,0.2825584528105921,1.7171300371508689,0.06865787506103516,1.1453030999983609,0.9312169312169312
full,43,1,0.21723955036919906,0.5096399832535589,0.13593673706054688,0.13065218498602296,0.9858906525573192
full,43,2,0.21982300465662746,0.6247325748574758,0.13733720779418945,0.0488272295843807,0.9717813051146384
full,43,3,0.45107147114529067,0.8659687369042556,0.08267831802368164,0.038792377660221346,0.9902998236331569
full,43,4,0.3559104247323789,0.4027760512263569,0.11004161834716797,0.030702233301139158,0.9753086419753086
full,43,5,0.32653647757777504,0.1896619022128146,0.11503219604492188,0.018416377861483566,0.9797178130511464
full,43,6,0.2637397157480931,0.3655152424254695,0.1281142234802246,0.0293906806733738,0.9885361552028219
full,43,7,0.32373086641422705,0.4699098792919236,0.11449813842773438,0.019918616346519324,0.9841269841269841
full,43,8,0.264922493721566,1.2838832220262153,0.12166929244995117,0.01677947437766593,0.9902998236331569
full,43,9,0.3847511440559028,1.5994353531862782,0.11268091201782227,0.014386005081040666,0.9902998236331569
full,43,10,0.33339443052322626,0.39474921522272394,0.11601018905639648,0.011194143078950933,0.9902998236331569
full,43,11,0.3588456296989313,0.626977051061566,0.12458324432373047,0.0054805184399831595,0.9876543209876543
full,43,12,0.3931956817656415,0.3357465879410402,0.12563085556030273,0.01348794521318674,0.9894179894179894
