config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.2,final.per_class_alpha.3,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full,42,0.29912333036458205,0.3433457016944885,0.9981246190632472,0.09011078625917435,0.8159626174066608,0.9162798693484614,0.4926469439104818,0.4100520418209949,0.4003625736477722,0.9344554362604904,0.7730007657805492,42,0.998569269344331,,0.8280290365219116,0.7983518242835999,0.8011913895606995,0.7011870741844177,,0.08943568579852582,3.802930817490149e-05,0.09011079370975494,17.75230541591548,3.8529297523090476
full,43,0.5177618445230487,0.32199227809906006,0.9982965289824496,0.07484206557273865,0.8351852720083767,0.9617891134136621,0.4467626236579305,0.41008329816994077,0.3842655539406442,0.6946723553221749,0.7426195946051541,36,0.9986669218741393,,0.7469876408576965,0.7456545233726501,0.7321366667747498,0.6422416567802429,,0.05382296554744244,2.9354018360436558e-05,0.07484207302331924,716.055515865961,4.013809226506705
full,44,0.5655140062679201,0.2982337772846222,0.9986559769953272,0.06798076629638672,0.8289808867426196,0.9084345257630456,0.49167799709315957,0.5482988732086205,0.4585306390360542,0.8354509509744167,0.6990951286980168,22,0.9988227076520878,,0.7300573587417603,0.7380143404006958,0.7484564781188965,0.6388157606124878,,0.043147297017276286,2.723297648428643e-05,0.06798076629638672,911.8896122702512,3.248221116719111
full,45,0.63281473747396,0.2549487054347992,0.9982652726335037,0.06800965219736099,0.8365136668385765,0.9223279728694891,0.39503336615249973,0.4201165861815681,0.3674027536843421,0.7806116867488708,0.7456827168018504,18,0.9982560730676583,,0.6876922249794006,0.6890047788619995,0.6912984848022461,0.6466943621635437,,0.020181023236364126,2.1957195139356544e-05,0.06800965219736099,2178.2666902204246,3.2537907439703626
full,46,0.43697478963681824,0.3223051428794861,0.9986403488208543,0.07710764557123184,0.7994123806398175,0.9405973088283558,0.33552127775954493,0.4750652476284245,0.4138653163923922,0.5445012268116961,0.7724850360229422,38,0.9989387428528852,,0.7681393027305603,0.7921367287635803,0.7893937230110168,0.7099668979644775,,0.043800776824355125,3.2255818162856016e-05,0.07710764557123184,1032.5848052010108,5.149368051882282
full,47,0.5076193640523864,0.3065016567707062,0.9982027599356119,0.08669368922710419,0.825511432009627,0.9340803600731399,0.5107443699501462,0.4647350243018113,0.35575976370200196,0.7267413693406474,0.7775798209011205,26,0.9978890172458899,,0.7296279072761536,0.7281110286712646,0.7214660048484802,0.6504479050636292,,0.049536647461354735,3.0186359147218654e-05,0.08669368922710419,1230.9215680371808,4.302443746488111
full,48,0.547961505617286,0.292465478181839,0.9989216559613672,0.07435984909534454,0.8281682216700267,0.9205776173285198,0.5049775735696314,0.7070342413302703,0.5814774876146718,0.9284854736118274,0.7191460765467985,22,0.9990827499472029,,0.7105624079704285,0.7328644394874573,0.742020845413208,0.688962459564209,,0.05773780141025782,3.215992819715686e-05,0.07435984909534454,516.8558544760795,4.9790172385209255
full,49,0.49807939443021443,0.31181541085243225,0.9989060277868942,0.07093723863363266,0.8332473783737322,0.9100129713848125,0.4973510244268367,0.48928688639879975,0.3967212089955772,0.777986153437417,0.7527310234891462,32,0.9990486142575318,,0.7845512628555298,0.7615482807159424,0.7627131938934326,0.7378620505332947,,0.048701186850667,3.549693816831775e-05,0.07093724608421326,626.4218762104623,4.392027528505798
full,50,0.4207072772009632,0.3321572542190552,0.9992654757997719,0.09596565365791321,0.8269804804100833,0.9341428727710316,0.5994655164330255,0.5397658899463954,0.3802647412755716,0.919749324081454,0.7720630753121728,39,0.9991951456215953,,0.7639976143836975,0.7500990033149719,0.7562230229377747,0.6416900157928467,,0.07056850865483284,4.0322636304488074e-05,0.0959656611084938,629.8484958183565,4.019044577320062
full,51,0.46158154652818173,0.31940099596977234,0.9983434135058684,0.08522099256515503,0.8297622954662666,0.9400346945473299,0.4117242564895994,0.31879913107349933,0.37871755200275053,0.7186616031381374,0.7883320049385031,34,0.998312365315394,,0.7594802379608154,0.7571211457252502,0.7513753175735474,0.6850719451904297,,0.04660691823810339,3.491784251673294e-05,0.08522100001573563,1105.8552845374895,4.402823722613268
