config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full,42,0.2964393071965022,0.1396794468164444,0.9929453262786596,0.12504854798316956,0.9567901234567902,0.9347442680776014,0.9144620811287478,0.9902998236331569,0.9391534391534392,0.9911816578483245,0.9514991181657848,22,0.9929478649440241,,0.7167628407478333,0.7864530682563782,0.657597005367279,0.7752689123153687,0.6976476311683655,0.7162982821464539,0.5691229701042175,0.7683525085449219,0.18033242225646973,0.655524730682373,0.8058947920799255,0.7759659886360168,0.7781673073768616,0.8524161577224731,0.7821148037910461,0.7837600708007812,0.7164694666862488,0.6878889203071594,,0.04525456596165896,0.00033898963502011303,0.1248200535774231,234.71362885868092,0.8899085612087532
full,43,0.36426415167314924,0.1556559056043625,0.9938271604938271,0.09208869934082031,0.9585537918871252,0.9382716049382716,0.8333333333333334,0.9885361552028219,0.9594356261022927,0.9929453262786596,0.9576719576719577,39,0.9938052662771992,,0.637303352355957,0.9426291584968567,0.6391160488128662,0.7823758125305176,0.6902198195457458,0.6626536846160889,0.4783593714237213,0.7434144616127014,0.13822290301322937,0.5654973983764648,0.9110220074653625,0.7112895846366882,0.8102238774299622,0.8971868753433228,0.9364009499549866,0.8377629518508911,0.6547715663909912,0.5888201594352722,,0.03841096591204405,0.00034989177178726486,0.09204492717981339,153.2872889251355,0.2527927948680891
full,44,0.32087504439728354,0.11989209800958633,0.9902998236331569,0.11335649341344833,0.9594356261022927,0.9347442680776014,0.8068783068783069,0.9902998236331569,0.935626102292769,0.9911816578483245,0.9453262786596119,16,0.9901818483929818,,0.7103901505470276,0.8435636162757874,0.6489802598953247,0.7938064932823181,0.6397874355316162,0.7215840220451355,0.4845349192619324,0.7196561694145203,0.12401972711086273,0.6192329525947571,0.865164577960968,0.8038308620452881,0.7630266547203064,0.853097140789032,0.830676257610321,0.8039061427116394,0.707420289516449,0.668340265750885,,0.03538542911410332,0.0002645699811947176,0.11231821030378342,290.78423996362255,0.8680670741533931
full,45,0.3583843377657579,0.1379840224981308,0.9911816578483245,0.09837489575147629,0.9603174603174603,0.9391534391534392,0.7724867724867724,0.9894179894179894,0.9479717813051146,0.9902998236331569,0.9523809523809523,25,0.9911228967949128,,0.6007505059242249,0.9482086300849915,0.6321684718132019,0.794959545135498,0.5103678703308105,0.6325938105583191,0.4081892967224121,0.7461693286895752,0.05527719110250473,0.5635465979576111,0.9497887492179871,0.7076761722564697,0.7590079307556152,0.9019957184791565,0.7857058048248291,0.7957016825675964,0.6247522830963135,0.5535964965820312,,0.03599011804908514,0.0005175290558201197,0.0986873209476471,121.14721303533292,0.5308942137034532
full,46,0.30675669649414183,0.12891335785388947,0.9911816578483245,0.0967743769288063,0.9567901234567902,0.9365079365079365,0.9144620811287478,0.9885361552028219,0.9691358024691358,0.9929453262786596,0.9603174603174603,22,0.9911035567087363,,0.75135338306427,0.8923258185386658,0.6782616376876831,0.8653175830841064,0.7608322501182556,0.7693614363670349,0.533997118473053,0.7854747176170349,0.18644775450229645,0.6942824125289917,0.8643686175346375,0.8030391335487366,0.8233270049095154,0.9297382831573486,0.8816050291061401,0.8248336911201477,0.7518638372421265,0.6744465231895447,,0.04423164241015911,0.0002961826257310542,0.09623144567012787,175.56668949116548,2.9474028917363775
full,47,0.3793393112828373,0.10834202915430069,0.9938271604938271,0.1022711768746376,0.95326278659612,0.9382716049382716,0.9585537918871252,0.9911816578483245,0.9470899470899471,0.9929453262786596,0.9647266313932981,29,0.9938174247681535,,0.6530638337135315,0.8434470891952515,0.6459777355194092,0.8008408546447754,0.6771668791770935,0.6653712391853333,0.6033667922019958,0.7701740860939026,0.10645056515932083,0.6145185232162476,0.8134279251098633,0.6971509456634521,0.7983799576759338,0.862151026725769,0.8648425936698914,0.8050635457038879,0.6600578427314758,0.6272808313369751,,0.04169035125523805,0.00026243508351934144,0.10218308120965958,230.50549839864576,0.6284489531093946
full,48,0.36678317310478975,0.12032925337553024,0.9911816578483245,0.1014031246304512,0.9682539682539683,0.9294532627865961,0.8068783068783069,0.9938271604938271,0.9312169312169312,0.9911816578483245,0.9514991181657848,17,0.9911601279290045,,0.7144012451171875,0.7723177671432495,0.6133034229278564,0.7507516741752625,0.7353432178497314,0.7150270342826843,0.48192140460014343,0.7645290493965149,0.05585385486483574,0.6294054985046387,0.8276571035385132,0.599828839302063,0.8413695693016052,0.908375084400177,0.8345987200737,0.7666962742805481,0.7083975672721863,0.6099361777305603,,0.0389365030452609,0.00034931828714254454,0.10178309679031372,179.9121199157123,0.6758235945666116
full,49,0.4155500404449932,0.10955391079187393,0.9858906525573192,0.09946879744529724,0.9673721340388007,0.9285714285714286,0.8253968253968254,0.982363315696649,0.8077601410934744,0.9805996472663139,0.9400352733686067,14,0.9857661521581055,,0.6283870935440063,0.819339394569397,0.5103167295455933,0.697210431098938,0.46851256489753723,0.5846487283706665,0.3035663068294525,0.6993402242660522,0.08353448659181595,0.5415796041488647,0.8910588026046753,0.8466699123382568,0.75714111328125,0.8378888368606567,0.7318311929702759,0.6962849497795105,0.6017167568206787,0.567401111125946,,0.02697422308847308,0.00020802893108045302,0.09878385812044144,345.190615140959,1.9498708653316361
full,50,0.3802907910282522,0.12650133669376373,0.9929453262786596,0.0837622731924057,0.9620811287477954,0.9312169312169312,0.8412698412698413,0.9691358024691358,0.8359788359788359,0.9902998236331569,0.9426807760141094,19,0.9929302115965343,,0.7979966402053833,0.844153881072998,0.6037416458129883,0.668764591217041,0.8478212356567383,0.7206357717514038,0.33421409130096436,0.739417314529419,0.20136655867099762,0.61863774061203,0.8895982503890991,0.9308793544769287,0.8778993487358093,0.8412715792655945,0.807252049446106,0.7609877586364746,0.7368046641349792,0.682320237159729,,0.035515685379505155,0.0003410017156632141,0.08457645028829575,143.87248659291888,0.6811615673563318
full,51,0.26909109697356254,0.13943712413311005,0.9991181657848325,0.06470158696174622,0.9303350970017636,0.9435626102292769,0.9911816578483245,0.9982363315696648,0.9285714285714286,0.9964726631393298,0.9506172839506173,21,0.9991181102362204,,0.9119575619697571,0.9526669979095459,0.6306359767913818,0.8537658452987671,0.7638610005378723,0.9232175946235657,0.32692062854766846,0.7255117297172546,0.19116850197315216,0.666573166847229,0.9450031518936157,0.9757526516914368,0.9704395532608032,0.920842707157135,0.9217207431793213,0.8922672867774963,0.9140009880065918,0.6855100393295288,,0.028133689891546965,0.0002971557882981992,0.06487219780683517,123.6338285787887,7.037947155509644
